ETF_TICKER,ETF_NAME,INDEX_NAME,CAPE,FWD_RETURN_5Y_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,INDEX_TICKER
KBWB,Invesco KBW Bank ETF,KBW Bank,12.54,0.0048,-0.1647,0.1749,BKX
ONEQ,Fidelity Nasdaq Composite Index ETF,NASDAQ Composite,34.11,0.1065,0.0102,0.2043,CCMP
DVY,iShares Select Dividend ETF,Dow Jones Select Dividend,14.08,0.0443,-0.0816,0.1707,DJDVP
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Dow Jones US Select Real Estate Securities,45.86,0.0108,-0.1108,0.1315,DWRSF
FRI,First Trust S&P REIT Index Fund,Dow Jones US Select Real Estate Securities,45.86,0.0108,-0.1108,0.1315,DWRSF
RWR,SPDR Dow Jones REIT ETF,Dow Jones US Select Real Estate Securities,45.86,0.0108,-0.1108,0.1315,DWRSF
USRT,iShares Core US REIT ETF,Dow Jones US Select Real Estate Securities,45.86,0.0108,-0.1108,0.1315,DWRSF
DIA,SPDR Dow Jones Industrial Average ETF Trust,Dow Jones Industrial Average,23.74,0.029,-0.0684,0.127,INDU
IYW,iShares US Technology ETF,NASDAQ Computer,39.59,0.1136,-0.0133,0.2422,IXK
FTEC,Fidelity MSCI Information Technology Index ETF,Technology Select Sector,37.94,0.0552,-0.0929,0.2252,IXT
XLK,Technology Select Sector SPDR Fund,Technology Select Sector,37.94,0.0552,-0.0929,0.2252,IXT
VGT,Vanguard Information Technology ETF,Technology Select Sector,37.94,0.0552,-0.0929,0.2252,IXT
IVOO,Vanguard S&P Mid-Cap 400 ETF,S&P Midcap 400,21.85,0.1046,0.0406,0.1686,MID
IJH,iShares Core S&P Mid-Cap ETF,S&P Midcap 400,21.85,0.1046,0.0406,0.1686,MID
MDY,SPDR S&P MidCap 400 ETF Trust,S&P Midcap 400,21.85,0.1046,0.0406,0.1686,MID
SPMD,SPDR Portfolio S&P 400 Mid Cap ETF,S&P Midcap 400,21.85,0.1046,0.0406,0.1686,MID
IJK,iShares S&P Mid-Cap 400 Growth ETF,S&P MidCap 400 Growth,30.89,0.1042,0.038,0.169,MIDG
MDYG,SPDR S&P 400 Mid CapGrowth ETF,S&P MidCap 400 Growth,30.89,0.1042,0.038,0.169,MIDG
IJJ,iShares S&P Mid-Cap 400 Value ETF,S&P Midcap 400 Value,17.38,0.0848,0.0178,0.153,MIDV
IVOV,Vanguard S&P Mid-Cap 400 Value ETF,S&P Midcap 400 Value,17.38,0.0848,0.0178,0.153,MIDV
MDYV,SPDR S&P 400 Mid Cap Value ETF,S&P Midcap 400 Value,17.38,0.0848,0.0178,0.153,MIDV
ACWI,iShares MSCI ACWI ETF,MSCI World USD,24.23,0.0202,-0.0664,0.1075,MSDUWI
CRBN,iShares MSCI ACWI Low Carbon Target ETF,MSCI World USD,24.23,0.0202,-0.0664,0.1075,MSDUWI
KOKU,Xtrackers MSCI Kokusai Equity ETF,MSCI World USD,24.23,0.0202,-0.0664,0.1075,MSDUWI
TOK,iShares MSCI Kokusai ETF,MSCI World USD,24.23,0.0202,-0.0664,0.1075,MSDUWI
URTH,iShares MSCI World ETF,MSCI World USD,24.23,0.0202,-0.0664,0.1075,MSDUWI
VT,Vanguard Total World Stock ETF,MSCI World USD,24.23,0.0202,-0.0664,0.1075,MSDUWI
