TICKER,NAME,REGION,HOLDING,MARKET_CAP,STYLE,SECTOR,SECURITY_TYPE,ASSET_CLASS,DURATION,CREDIT,CLASSIFICATION,MIN,MAX
A,Agilent Technologies Inc,U.S.,Satellite,Large-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0400
AA,Alcoa Corp,U.S.,Satellite,Mid-cap,Value,Materials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0100
AAAU,Goldman Sachs Physical Gold ETF,Global,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Commodity,Non-Fixed Income,Non-Fixed Income,Commodity,0.0000,0.5000
AAL,American Airlines Group Inc,U.S.,Satellite,Mid-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0200
AAON,AAON Inc,U.S.,Satellite,Small-cap,Growth,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0500
AAP,Advance Auto Parts Inc,U.S.,Satellite,Mid-cap,Value,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0400
AAPL,Apple Inc,U.S.,Satellite,Large-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0400
AAT,American Assets Trust Inc,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0500
AAWW,Atlas Air Worldwide Holdings Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0200
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Developed Markets,Satellite,Large-cap,Growth,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Developed Markets Large-cap Growth ETP,0.0000,0.1250
