,LONG_COMP_NAME,FWD_RETURN_5Y_FORECAST
S6COND Index,S&P 600 Consumer Discretionary Sector GICS Level 1 Index,0.2189
S4COND Index,S&P 400 Consumer Discretionary Sector GICS Level 1 Index,0.1965
S5APAC Index,S&P 500 Apparel & Accessories Sub Industry GICS Level 4 Index,0.194
S6FINL Index,S&P 600 Financials Sector GICS Level 1 Index,0.1745
SML Index,S&P Small Cap 600 Index,0.1729
SMLL1 Index,S&P Small Cap 600 1 Index,0.1727
SMLL3 Index,S&P Small Cap 600 Level 3 Index,0.1727
SMLG Index,S&P Small Cap 600 Growth Index,0.172
SMLV Index,S&P Small Cap 600 Value Index,0.1593
S5FOOT Index,S&P 500 Footwear Sub Industry GICS Level 4 Index,0.1502
NDQ Index,NASDAQ-100 Index,0.1363
S6INDU Index,S&P 600 Industrials Sector GICS Level 1 Index,0.1317
S15TRAN Index,S&P Supercomposite Transportation Industry Group GICS Level 2 Index,0.1146
S5ITEL Index,S&P 500 Integrated Telecommunication Services Sub GICS Level 4 Index,0.1142
MGUEBZ Index,MSCI Growth Brazil USD,0.1137
S4INFT Index,S&P 400 Information Technology Sector GICS Level 1 Index,0.1087
MXZH Index,MSCI Zhong Hua Index,0.1079
S15OILP Index,S&P Supercomposite Oil & Gas Exploration & Production Sub Industry GICS 4 Index,0.1073
S15CONP Index,S&P Supercomposite Containers and Packaging Industry GICS Level 3 Index,0.1062
MIDG Index,S&P MidCap 400 Growth Index,0.1038
RUY Index,Russell 2000 Index/Old,0.1035
RTY Index,Russell 2000 Index,0.1035
S5TRADX Index,S&P 500 Trading Companies & Distributors Industry GICS Level 3 Index,0.1021
BBREPBST Index,Bloomberg Reit Public /Self Storage Index,0.0984
S4HLTH Index,S&P 400 Health Care Sector GICS Level 1 Index,0.0961
S4MATR Index,S&P 400 Materials Sector GICS Level 1 Index,0.0941
MXUSSC Index,MSCI United States Small Cap Index,0.0938
RUJ Index,Russell 2000 Value Index,0.0929
MID Index,S&P Midcap 400 Index,0.0891
S15AEROX Index,S&P Supercomposite Aerospace & Defense Industry GICS Level 3 Index,0.089
S15AERO Index,S&P Supercomposite Aerospace and Defense Sub Industry GICS Level 4 Index,0.089
MIDL1 Index,S&P Midcap 400 1 Index,0.0887
IXY Index,Consumer Discretionary Select Sector Index,0.0875
MXNASC Index,MSCI North America Small Cap Index,0.0864
MXWOSC Index,MSCI World Small Cap Index,0.0825
CIND Index,NASDAQ Industrial Index,0.0822
S5INSB Index,S&P 500 Insurance Brokers Sub Industry GICS Level 4 Index,0.0811
BBRERTL Index,Bloomberg Real Estate Investment Trust Retail Index,0.0807
M3KR Index,MSCI Korea USD Price Return Index,0.0797
MXGBSC Index,MSCI United Kingdom Small Cap Index,0.0781
MXFEJ Index,MSCI AC Far East Ex. Japan Index,0.0776
MXPF0IT Index,MSCI AC Pacific Information Technology Index,0.0755
MSDUHK Index,MSCI Hong Kong USD,0.0748
MXEUSC Index,MSCI Europe Small Cap Index in USD,0.0734
MSDUGR Index,MSCI Germany USD,0.0731
S15OILG Index,"S&P 1500 Oil, Gas & Consumable Fuels Industry Group GICS Level 3 Index",0.072
MXEASC Index,MSCI EAFE Small Cap Index,0.0718
MXCL0FN Index,MSCI Chile Financials Index,0.0711
CTRN Index,NASDAQ Transportation Index,0.07
MXEUGSC Index,MSCI Europe Ex. United Kingdom Small Cap Index,0.0686
MIDV Index,S&P Midcap 400 Value Index,0.0686
CCMP Index,NASDAQ Composite Index,0.068
S5CASI Index,S&P 500 Casinos & Gaming Sub Industry GICS Level 4 Index,0.0673
MSELCFEF Index,MSCI AC Far East Local,0.0655
S15CASI Index,S&P Supercomposite Casinos & Gaming Sub Industry GICS Level 4 Index,0.0647
