BENCHMARK_TICKER,ETF_TICKER,CORRELATION,P_VALUE,NAME,PRIOR,POSTERIOR,VIEWS
BBRELRGC Index,RWO US Equity,0.9902,0,Bloomberg Real Estate Investment Trust Large Cap Index,0.15171611,0.046172288,0.01135
BBREPBST Index,BIZD US Equity,0.9439,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,DLN US Equity,0.9639,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,DIVO US Equity,0.9667,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,DTD US Equity,0.9637,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,FCPI US Equity,0.9557,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,HUSV US Equity,0.9631,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,KBWY US Equity,0.9391,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,IUS US Equity,0.9575,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,RWL US Equity,0.9609,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBRERTL Index,ROOF US Equity,0.9527,0,Bloomberg Real Estate Investment Trust Retail Index,0.172950649,0.068849389,0.0796
BBRESHOP Index,AVUV US Equity,0.9164,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,DDIV US Equity,0.9445,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,IMCV US Equity,0.9548,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,JPUS US Equity,0.9561,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,VFVA US Equity,0.9402,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,XSVM US Equity,0.9482,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BKX Index,KBWB US Equity,0.9969,0,KBW Bank Index,0.173385606,0.050607033,0.0524
BPITT Index,BLES US Equity,0.9792,0,Bloomberg Pittsburgh Index,0.159817762,0.055607068,0.042
BPITT Index,HOMZ US Equity,0.9813,0,Bloomberg Pittsburgh Index,0.159817762,0.055607068,0.042
BPITT Index,LSAF US Equity,0.9795,0,Bloomberg Pittsburgh Index,0.159817762,0.055607068,0.042
CBNK Index,IAT US Equity,0.9893,0,NASDAQ Bank Index,0.131674833,0.077933971,0.07035
CBNK Index,FTXO US Equity,0.9885,0,NASDAQ Bank Index,0.131674833,0.077933971,0.07035
CBNK Index,KRE US Equity,0.9864,0,NASDAQ Bank Index,0.131674833,0.077933971,0.07035
CBNK Index,KBE US Equity,0.995,0,NASDAQ Bank Index,0.131674833,0.077933971,0.07035
CCMP Index,FXL US Equity,0.9799,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,IHAK US Equity,0.942,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,KARS US Equity,0.9364,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,ONEQ US Equity,0.9977,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,QQEW US Equity,0.993,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
