TICKER,NAME,INDEX_NAME,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,INDEX_TICKER,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
KBWB,Invesco KBW Bank ETF,KBW Bank,8.77,0.0627,-0.1072,0.2315,0.0,BKX,3.91,25.209999999999997,0.4451
ONEQ,Fidelity Nasdaq Composite Index ETF,NASDAQ Composite,39.0,0.0718,-0.0239,0.1684,0.0,CCMP,18.409999999999997,54.00000000000001,0.5584
DVY,iShares Select Dividend ETF,Dow Jones Select Dividend,11.29,0.0673,-0.0573,0.1919,0.0004,DJDVP,7.7,19.999999999999996,0.0749
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Dow Jones US Select Real Estate Securities,41.55,0.0233,-0.0965,0.1425,0.0,DWRSF,12.149999999999999,64.25999999999999,0.3254
FRI,First Trust S&P REIT Index Fund,Dow Jones US Select Real Estate Securities,41.55,0.0233,-0.0965,0.1425,0.0,DWRSF,12.149999999999999,64.25999999999999,0.3254
RWR,SPDR Dow Jones REIT ETF,Dow Jones US Select Real Estate Securities,41.55,0.0233,-0.0965,0.1425,0.0,DWRSF,12.149999999999999,64.25999999999999,0.3254
USRT,iShares Core US REIT ETF,Dow Jones US Select Real Estate Securities,41.55,0.0233,-0.0965,0.1425,0.0,DWRSF,12.149999999999999,64.25999999999999,0.3254
DIA,SPDR Dow Jones Industrial Average ETF Trust,Dow Jones Industrial Average,22.21,0.0394,-0.0575,0.1363,0.0,INDU,10.470000000000002,33.09000000000001,0.1578
IYW,iShares US Technology ETF,NASDAQ Computer,48.39,0.0636,-0.0639,0.1917,0.0,IXK,17.850000000000005,71.52000000000002,0.439
FTEC,Fidelity MSCI Information Technology Index ETF,Technology Select Sector,42.92,0.0613,-0.098,0.2203,0.0232,IXT,13.870000000000001,34.79,0.0279
XLK,Technology Select Sector SPDR Fund,Technology Select Sector,42.92,0.0613,-0.098,0.2203,0.0232,IXT,13.870000000000001,34.79,0.0279
VGT,Vanguard Information Technology ETF,Technology Select Sector,42.92,0.0613,-0.098,0.2203,0.0232,IXT,13.870000000000001,34.79,0.0279
IVOO,Vanguard S&P Mid-Cap 400 ETF,S&P Midcap 400,19.64,0.1307,0.0677,0.1944,0.0,MID,11.510000000000002,31.150000000000002,0.5972
IJH,iShares Core S&P Mid-Cap ETF,S&P Midcap 400,19.64,0.1307,0.0677,0.1944,0.0,MID,11.510000000000002,31.150000000000002,0.5972
