,F_PVALUE
RTY,6.440372919649845e-54
RUJ,3.039407301166262e-47
S6COND,3.5821064910224553e-43
S6INFT,7.411818784057812e-48
SGX,0.0004068080170999753
SML,1.1302849586121086e-52
SMLG,3.3120623182331285e-38
SMLV,2.9255823084674204e-63
MXUS0FN,6.6225114617865516e-15
MXUS0HC,1.8887960295862323e-81
MXUS0IN,4.583234009702286e-27
MXUS0MT,6.001231820843929e-56
MXUS0UT,4.754843788839874e-05
MXUSSC,1.1194837356558983e-62
MXWD0IT,4.144364158134411e-99
NDQ,2.258097203940144e-47
OEX,6.051676835720901e-14
OSX,5.186845443477998e-15
RAG,3.807551510767825e-42
RDG,1.3136649428444387e-24
RLG,7.236955981722321e-39
RLV,2.3202444068217077e-38
RMC,4.385838254316491e-61
RMV,3.205294214738429e-30
MIDG,4.3453875436854817e-44
MIDV,2.8410112343937974e-59
SOX,1.0031087351597466e-13
MSDUWI,1.2260719484544434e-44
MXKO0EN,2.193388057729169e-11
MXNASC,5.0188303437976334e-57
MXUS0CD,1.199793673689759e-09
MXUS0CS,1.7287423244478404e-05
MXUS0EN,1.6869469446127478e-06
SPSIHO,1.9534069345417255e-07
SPSIMM,6.421223769935527e-06
SPW,1.4188012193665456e-19
SPX,5.767631757297151e-57
SVX,3.094352168589741e-25
BKX,1.1675252365294749e-21
CCMP,3.088759262975858e-30
DJDVP,0.0003949945719641663
DWRSF,1.7237466404767802e-13
INDU,7.67799699854681e-12
IXK,1.895039103316862e-20
IXT,0.03499258094853365
MID,4.6928059313766444e-55
