,β₀,β₁
OEX,0.4343,-0.1264
MIDG,0.8425,-0.2152
MIDV,0.9551,-0.3047
MSDUWI,0.4664,-0.1398
MXKO0EN,-0.2146,0.0831
MXNASC,0.8777,-0.2608
MXUS0CD,0.5512,-0.142
MXUS0CS,0.2358,-0.0621
MXUS0EN,-0.2164,0.0874
OSX,-0.4757,0.1423
RAG,0.7398,-0.1946
RDG,0.7276,-0.1823
RLG,0.7672,-0.202
RLV,0.4969,-0.1604
RMC,0.7744,-0.2257
RMV,0.6423,-0.2015
MXUS0FN,0.2887,-0.0919
MXUS0HC,0.5782,-0.1508
MXUS0IN,0.4441,-0.1226
MXUS0MT,0.9188,-0.2868
MXUS0UT,0.3459,-0.117
MXUSSC,0.9088,-0.2696
MXWD0IT,0.7501,-0.1921
NDQ,0.9738,-0.2256
RTY,0.9232,-0.2774
RUJ,0.8649,-0.2821
BKX,0.4014,-0.1559
CCMP,1.0572,-0.2692
S6COND,0.933,-0.2786
S6INFT,1.16,-0.3068
DJDVP,0.313,-0.1013
DWRSF,0.4508,-0.1148
INDU,0.4143,-0.121
SGX,0.3941,-0.0929
SML,0.989,-0.2823
SMLG,0.9679,-0.2478
SMLV,1.0312,-0.324
IXK,1.0862,-0.264
IXT,0.4511,-0.1057
MID,0.8585,-0.2444
SOX,1.1622,-0.3066
SPSIHO,0.3852,-0.1147
SPSIMM,0.3842,-0.1283
SPW,0.6498,-0.1912
SPX,0.6625,-0.1949
SVX,0.616,-0.2081
