,f_pvalue
MID,4.784944440518913e-53
MIDG,6.090081995958746e-39
MIDV,1.5473850186681077e-57
MSDUWI,4.558454491388014e-44
MXKO0EN,2.400700208062339e-11
MXNASC,8.235971902714851e-54
MXUS0CD,8.096565347459851e-10
MXUS0CS,7.1338084843038e-06
NDQ,9.646422842856344e-47
OEX,2.6418978038338497e-16
OSX,3.055947789540984e-14
RAG,7.754530888165423e-41
RDG,1.0103230794573632e-22
RLG,9.141629323618987e-38
RLV,2.858361508620371e-37
RMC,1.8645173598175893e-60
RMV,1.6553892347525247e-27
RTY,1.8722411956516393e-49
RUJ,5.805748652194144e-45
S6COND,1.5660118695332494e-42
S6INFT,1.7939223111176693e-47
SGX,0.00015054360958308746
SML,1.8505474233418231e-50
SMLG,1.0090762460652249e-35
BKX,1.3213479747720587e-20
CBNK,9.857310926573073e-15
CCMP,1.7418269612397585e-29
DJDVP,0.00027704794577325864
DWRSF,3.573541283546207e-13
INDU,1.2346415470386482e-13
IXK,7.04237124896242e-21
IXT,0.003965867734334085
MXUS0EN,1.7456509811743575e-06
MXUS0FN,1.6963950910100628e-14
MXUS0HC,5.746979903757285e-80
MXUS0IN,1.5151357447105548e-27
MXUS0MT,3.545160329021251e-55
MXUS0UT,1.0737927165777018e-05
MXUSSC,8.233373724937676e-59
MXWD0IT,2.5872861214498347e-99
SMLV,2.0518827828112964e-61
SOX,1.6622320579958147e-15
SPSIHO,1.4444112016373547e-07
SPSIMM,1.0901730752425421e-05
SPW,2.7860220161533826e-22
SPX,1.4301245411723197e-60
SVX,1.085813935748775e-26
