TICKER,LONG_TERM_EARNINGS_YIELD,NOMINAL_EARNINGS_GROWTH,REPRICING_RETURN,GRINOLD_KRONER_RETURN
BBRELRGC Index,0.019,0.0375,-0.0234,0.03309999999999999
BBREPBST Index,0.0184,0.0375,-0.0177,0.0382
BBRERTL Index,0.0365,0.0375,0.0045,0.0785
BBRESHOP Index,0.031,0.0375,-0.0136,0.054900000000000004
BKX Index,0.0789,0.0375,-0.0065,0.1099
BPITT Index,0.0455,0.0375,-0.011,0.072
CBNK Index,0.0623,0.0375,0.0008,0.1006
CCMP Index,0.0262,0.0375,-0.0111,0.05260000000000001
CIND Index,0.0262,0.0375,-0.0088,0.054900000000000004
CTRN Index,0.0363,0.0375,-0.0168,0.05700000000000001
DJDVP Index,0.07,0.0375,0.0009,0.10840000000000001
DJGT Index,0.0337,0.0375,-0.0208,0.0504
DJI Index,0.0433,0.0375,-0.0146,0.0662
DWRSF Index,0.0198,0.0375,-0.0166,0.0407
FIDINTFP Index,0.0516,0.0375,-0.0037,0.0854
HGX Index,0.0588,0.0375,-0.0046,0.0917
INDU Index,0.0433,0.0375,-0.0146,0.0662
INX Index,0.0355,0.0375,-0.0167,0.056299999999999996
IVX Index,0.0474,0.0375,-0.0164,0.0685
IXM Index,0.0568,0.0375,-0.0132,0.08109999999999999
IXT Index,0.0233,0.0375,-0.025,0.0358
M3EU Index,0.0499,0.0375,-0.0116,0.0758
M3GB Index,0.0551,0.0375,-0.0113,0.0813
M3KR Index,0.0732,0.0375,-0.0056,0.1051
M3TW Index,0.0436,0.0375,-0.0135,0.06760000000000001
M6US Index,0.0353,0.0375,-0.0167,0.056100000000000004
M6US000G Index,0.0199,0.0375,-0.0229,0.0345
M6US000V Index,0.049,0.0375,-0.016,0.0705
MGLEACWF Index,0.0244,0.0375,-0.0187,0.043199999999999995
MGUAJN Index,0.0276,0.0375,-0.0118,0.05329999999999999
MGUEBZ Index,0.0655,0.0375,-0.0024,0.10060000000000001
MID Index,0.0447,0.0375,-0.0048,0.0774
MIDG Index,0.0326,0.0375,-0.0066,0.0635
MIDL1 Index,0.0447,0.0375,-0.0048,0.0774
MIDV Index,0.0557,0.0375,-0.007,0.0862
MSALAAPF Index,0.0551,0.0375,0.0026,0.0952
MSCLFNCL Index,0.0712,0.0375,-0.004,0.10469999999999999
MSCLUTI Index,0.05,0.0375,-0.0128,0.07469999999999999
MSDLEAFE Index,0.0512,0.0375,-0.0072,0.0815
MSDLEASE Index,0.0525,0.0375,-0.0096,0.0804
MSDLEMU Index,0.0523,0.0375,-0.0117,0.07809999999999999
MSDLNA Index,0.0359,0.0375,-0.0161,0.05729999999999999
MSDLP Index,0.0537,0.0375,0.0035,0.0947
MSDLWI Index,0.0401,0.0375,-0.0136,0.064
MSDLWXUS Index,0.0508,0.0375,-0.007,0.08129999999999998
MSDLXUXZ Index,0.0505,0.0375,-0.0127,0.07529999999999999
MSDUFR Index,0.0418,0.0375,-0.0159,0.0634
MSDUGR Index,0.0676,0.0375,-0.0,0.1051
MSDUHK Index,0.0778,0.0375,-0.003,0.11229999999999998
MSDUJN Index,0.0471,0.0375,0.0031,0.08770000000000001
MSDUKOK Index,0.0396,0.0375,-0.0148,0.0623
MSDUSZ Index,0.0403,0.0375,-0.0062,0.07160000000000001
MSDUUK Index,0.0551,0.0375,-0.0113,0.0813
MSELACWF Index,0.0418,0.0375,-0.0126,0.0667
MSELCAPF Index,0.0592,0.0375,-0.0048,0.09190000000000001
MSELCFEF Index,0.0573,0.0375,0.0057,0.10049999999999999
MSELE18 Index,0.05,0.0375,-0.0121,0.0754
MSEUEU Index,0.0506,0.0375,-0.0126,0.0755
MSGLCDIS Index,0.0348,0.0375,-0.0078,0.0645
MSGLENR Index,0.0455,0.0375,-0.0253,0.05769999999999999
MSGLIND Index,0.0411,0.0375,-0.0123,0.0663
MSGLIT Index,0.023,0.0375,-0.0216,0.0389
MSRLMAT Index,0.0446,0.0375,-0.0172,0.06490000000000001
MVLEACWF Index,0.058,0.0375,-0.0114,0.08410000000000001
MVUDFR Index,0.0718,0.0375,-0.0074,0.1019
MXAM Index,0.0363,0.0375,-0.0162,0.057600000000000005
MXAP Index,0.0551,0.0375,0.0026,0.0952
MXAP0CD Index,0.0455,0.0375,-0.0033,0.0797
MXAP0HC Index,0.0235,0.0375,-0.017,0.044
MXAP0IN Index,0.0505,0.0375,-0.0006,0.08739999999999999
MXAPJ Index,0.0592,0.0375,-0.0048,0.09190000000000001
MXAPJCS Index,0.031,0.0375,-0.0177,0.050800000000000005
MXAS Index,0.0542,0.0375,0.0028,0.0945
MXAS0CS Index,0.0321,0.0375,-0.0071,0.06249999999999999
MXASJ Index,0.0586,0.0375,-0.0091,0.087
MXCHSC Index,0.0449,0.0375,-0.0151,0.0673
MXE2 Index,0.053,0.0375,-0.0066,0.0839
MXEA Index,0.0512,0.0375,-0.0072,0.0815
MXEA000G Index,0.0311,0.0375,-0.0138,0.054799999999999995
MXEA000V Index,0.0712,0.0375,-0.0046,0.1041
MXEA0IT Index,0.024,0.0375,-0.0174,0.0441
MXEA0MT Index,0.0507,0.0375,-0.0085,0.0797
MXEAJ Index,0.0525,0.0375,-0.0096,0.0804
MXEASC Index,0.059,0.0375,0.0007,0.09720000000000001
MXEF0CD Index,0.0408,0.0375,-0.0213,0.05700000000000001
MXER0FN Index,0.0847,0.0375,-0.0059,0.1163
MXER0IN Index,0.0382,0.0375,-0.0149,0.06079999999999999
MXEU000U Index,0.0499,0.0375,-0.0116,0.0758
MXEUGSC Index,0.0595,0.0375,-0.0066,0.09040000000000001
MXEUSC Index,0.0608,0.0375,-0.0037,0.0946
MXFA Index,0.0515,0.0375,0.0033,0.0923
MXFE Index,0.0573,0.0375,0.0057,0.10049999999999999
MXFEJ Index,0.065,0.0375,-0.0049,0.0976
MXGBSC Index,0.0634,0.0375,-0.0038,0.09709999999999999
MXGS Index,0.0387,0.0375,-0.0143,0.06189999999999999
MXIL Index,0.0371,0.0375,-0.0161,0.058499999999999996
MXKO0HC Index,0.0344,0.0375,-0.0098,0.06209999999999999
MXLA Index,0.0646,0.0375,-0.013,0.0891
MXMX Index,0.0614,0.0375,-0.007,0.0919
MXNA Index,0.0359,0.0375,-0.0161,0.05729999999999999
MXNA0EN Index,0.0428,0.0375,-0.023,0.0573
MXNA0FN Index,0.0592,0.0375,-0.0094,0.0873
MXNA0HC Index,0.0343,0.0375,-0.0114,0.0604
MXNA0MT Index,0.0465,0.0375,-0.0094,0.07459999999999999
MXNASC Index,0.0492,0.0375,-0.0044,0.0823
MXPC Index,0.0537,0.0375,0.0035,0.0947
