date,BBREAPT Index,BBRELRGC Index,BBREPBST Index,BBRERTL Index,BBRESHOP Index,BKX Index,BPITT Index,CBNK Index,CCMP Index,CIND Index,CTRN Index,DJDVP Index,DJGT Index,DJI Index,DWRSF Index,FIDINTFP Index,HGX Index,IGX Index,INDU Index,INX Index,IVX Index,IXM Index,IXT Index,IXY Index,M3EU Index,M3GB Index,M3KR Index,M3SG Index,M3TW Index,M6US Index,M6US000G Index,M6US000V Index,MGLEACWF Index,MGUAJN Index,MGUEBZ Index,MID Index,MIDG Index,MIDL1 Index,MIDV Index,MSALAAPF Index,MSCLFNCL Index,MSCLUTI Index,MSDLEAFE Index,MSDLEASE Index,MSDLEMU Index,MSDLNA Index,MSDLP Index,MSDLWI Index,MSDLWXUS Index,MSDLXUXZ Index,MSDUAS Index,MSDUFR Index,MSDUGR Index,MSDUHK Index,MSDUJN Index,MSDUKOK Index,MSDUSZ Index,MSDUUK Index,MSELACWF Index,MSELCAPF Index,MSELCFEF Index,MSELE18 Index,MSEUEU Index,MSGLCDIS Index,MSGLENR Index,MSGLIND Index,MSGLIT Index,MSRLMAT Index,MVLEACWF Index,MVUDFR Index,MXAM Index,MXAP Index,MXAP0CD Index,MXAP0HC Index,MXAP0IN Index,MXAP0MT Index,MXAPJ Index,MXAPJCS Index,MXAS Index,MXAS0CS Index,MXAS0MT Index,MXASJ Index,MXBR Index,MXCHSC Index,MXCL Index,MXCL0FN Index,MXE2 Index,MXEA Index,MXEA000G Index,MXEA000V Index,MXEA0IT Index,MXEA0MT Index,MXEAJ Index,MXEASC Index,MXEF0CD Index,MXER0FN Index,MXER0IN Index,MXEU000U Index,MXEUGSC Index,MXEUSC Index,MXFA Index,MXFE Index,MXFEJ Index,MXGBSC Index,MXGS Index,MXHKSC Index,MXIL Index,MXKO0HC Index,MXLA Index,MXMX Index,MXNA Index,MXNA0CS Index,MXNA0EN Index,MXNA0FN Index,MXNA0HC Index,MXNA0MT Index,MXNA0TC Index,MXNASC Index,MXPC Index,MXPCJ Index,MXPCSC Index,MXPF0IT Index,MXPFJ Index,MXUS Index,MXUS000G Index,MXUS000V Index,MXUS0FN Index,MXUS0IT Index,MXUS0MT Index,MXUSSC Index,MXWD Index,MXWD000G Index,MXWD000V Index,MXWD0CD Index,MXWD0FN Index,MXWD0HC Index,MXWD0MT Index,MXWD0TC Index,MXWDE Index,MXWDG Index,MXWDJ Index,MXWDM Index,MXWDO Index,MXWDOCD Index,MXWDOEN Index,MXWDU Index,MXWDUCD Index,MXWDUEN Index,MXWDUFN Index,MXWDUIT Index,MXWO000G Index,MXWO000V Index,MXWO0CD Index,MXWO0IN Index,MXWO0IT Index,MXWO0MT Index,MXWO0TC Index,MXWOG Index,MXWOM Index,MXWOOCS Index,MXWOOHC Index,MXWOOIT Index,MXWOOTC Index,MXWOSC Index,MXWOU Index,MXWOUSC Index,MXZH Index,NDF Index,NDQ Index,OEX Index,OSX Index,R200 Index,RAG Index,RAV Index,RAY Index,RDG Index,RLG Index,RLV Index,RMC Index,RMV Index,ROY Index,RRY Index,RTY Index,RUJ Index,RUY Index,S15AERO Index,S15AEROX Index,S15CASI Index,S15CONP Index,S15CONS Index,S15FINL Index,S15INDU Index,S15INFT Index,S15INSU Index,S15MATR Index,S15METL Index,S15OILG Index,S15OILP Index,S15REAL Index,S15STEL Index,S15TRAN Index,S15UTIL Index,S4COND Index,S4ENRS Index,S4HLTH Index,S4INDU Index,S4INFT Index,S4MATR Index,S5AGRI Index,S5APAC Index,S5CASI Index,S5COMS Index,S5COMSX Index,S5CPGS Index,S5ELEQ Index,S5FDBT Index,S5FDRE Index,S5FINL Index,S5FOOT Index,S5HCEP Index,S5HCES Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5INSB Index,S5INSU Index,S5INSUX Index,S5ITEL Index,S5METL Index,S5PHAR Index,S5PROP Index,S5SYSF Index,S5TRADX Index,S5UTIL Index,S6BANKX Index,S6COND Index,S6FINL Index,S6INDU Index,S6INFT Index,S6OILP Index,SGX Index,SML Index,SMLG Index,SMLL1 Index,SMLL3 Index,SMLV Index,SOX Index,SPGLOB Index,SPOEXEUP Index,SPR Index,SPRL1 Index,SPRL2 Index,SPRL3 Index,SPSIHO Index,SPSIMM Index,SPX Index,SPXL1 Index,SPXL2 Index,SPXL3 Index,SVX Index,SX5K Index,SX7K Index,SX7L Index,SX9L Index,SXNL Index,SXXL Index,XAU Index,XEO Index
2002-09-30,25.09,22.96,22.81,25.45,23.36,16.85,15.52,23.93,32.18,32.84,25.76,10.36,18.11,15.71,24.46,18.19,17.09,26.17,15.71,18.13,13.04,18.28,15.7,21.85,17.98,18.34,15.79,14.72,20.43,17.73,24.77,13.14,24.14,43.39,2.25,19.64,25.83,19.64,15.83,25.89,16.62,12.57,20.21,17.75,17.73,17.8,27.47,18.6,20.2,16.71,19.14,22.9,14.89,11.89,37.06,17.78,23.15,18.34,18.14,16.29,27.75,17.98,17.66,22.01,20.58,17.33,24.04,14.25,14.1,16.38,17.28,25.89,33.87,31.52,25.11,20.89,16.29,19.5,27.75,29.26,27.49,14.51,2.95,11.52,10.09,12.42,18.86,20.21,25.77,16.38,31.32,17.31,17.75,15.09,10.45,14.34,16.25,17.98,11.15,11.54,30.34,27.75,14.51,11.99,18.89,8.01,23.81,30.82,4.1,4.59,17.8,13.83,19.35,18.12,30.49,16.66,6.91,18.39,27.47,16.21,22.42,32.94,16.3,17.73,24.77,13.14,18.06,22.92,16.31,18.51,18.14,24.14,14.1,21.58,16.62,31.06,14.54,8.43,18.25,18.17,17.39,18.24,18.17,21.69,19.6,18.93,22.23,18.9,14.96,28.15,25.16,14.25,22.01,17.33,24.04,17.01,8.61,18.63,18.71,16.9,31.08,24.05,8.52,16.67,20.2,15.24,12.07,24.16,42.42,16.78,30.91,18.58,27.0,13.59,18.36,29.83,27.13,13.55,17.81,14.45,18.41,18.36,17.3,14.34,17.3,18.19,18.19,39.23,16.39,15.13,18.48,16.9,22.67,21.48,15.67,14.58,18.73,29.43,23.97,9.41,23.69,9.99,24.2,33.96,35.97,15.02,18.49,11.88,15.64,18.39,44.92,25.62,25.62,15.0,14.76,10.78,15.14,18.29,20.43,28.98,33.42,30.38,16.97,23.05,24.32,22.19,22.19,7.13,15.95,28.31,19.58,40.92,17.37,9.46,20.33,22.02,19.52,18.32,20.83,38.32,26.17,21.29,31.09,21.29,21.29,16.01,22.34,8.08,11.32,18.3,18.3,18.3,18.3,21.96,9.2,18.13,18.13,18.13,18.13,13.04,17.8,11.97,14.17,22.25,16.45,17.81,27.68,16.78
2002-10-31,23.74,21.94,21.1,24.5,22.84,18.5,16.02,24.44,37.15,36.93,28.49,10.63,19.99,17.38,23.25,18.25,17.36,28.55,17.38,19.6,13.96,19.99,19.41,22.91,19.54,19.71,17.22,15.97,22.96,19.23,27.12,14.12,26.01,42.26,2.66,20.39,27.07,20.39,16.26,25.26,18.3,12.41,21.18,19.09,19.9,19.26,26.44,19.9,21.11,18.73,18.37,25.92,16.96,12.27,35.63,19.21,23.05,19.71,19.39,16.71,27.33,19.53,19.42,22.79,20.97,17.65,28.98,15.01,14.95,19.26,18.68,25.26,32.43,31.84,23.37,20.34,16.71,19.2,27.32,28.8,25.72,15.59,3.51,11.61,10.34,11.91,19.77,21.18,27.17,17.05,35.53,17.51,19.09,14.88,11.25,16.63,17.87,19.54,11.65,11.84,29.45,27.33,15.59,11.93,20.27,8.36,24.31,32.69,4.46,4.81,19.26,14.28,19.77,19.82,32.38,17.46,8.88,18.94,26.44,16.2,21.19,34.34,16.71,19.23,27.12,14.12,19.85,27.99,17.12,18.99,19.39,26.01,14.95,22.36,18.3,32.88,14.94,10.43,19.41,19.42,18.77,19.39,19.47,22.47,19.94,19.79,22.73,18.97,16.52,31.75,27.14,15.12,22.79,17.65,28.98,17.48,10.69,19.92,19.9,17.31,32.9,28.99,10.63,16.82,21.11,15.14,12.43,25.09,50.46,18.51,32.93,20.23,29.37,14.48,19.77,31.89,29.55,14.48,18.6,14.88,19.87,19.77,17.6,14.34,17.6,17.43,17.43,38.06,17.0,15.63,20.1,17.15,27.6,23.44,16.23,15.19,19.08,29.27,23.22,9.72,24.09,9.82,25.17,37.27,36.02,15.11,20.74,12.16,17.03,20.32,44.25,28.66,28.66,15.02,14.84,11.27,15.34,20.0,22.41,29.31,31.31,32.17,17.24,28.21,26.17,24.34,24.34,9.19,16.78,30.72,21.37,50.89,18.04,9.17,20.89,22.57,20.05,18.41,24.37,37.14,28.55,21.74,31.94,21.74,21.74,16.35,27.74,9.13,12.01,19.7,19.7,19.7,19.7,22.36,9.15,19.6,19.6,19.6,19.6,13.96,20.17,13.71,16.31,22.73,17.02,19.36,25.74,18.51
2002-11-29,25.61,22.75,22.12,25.12,23.43,18.97,16.9,24.41,41.15,39.67,29.58,11.26,21.71,17.33,24.23,18.53,17.54,29.8,17.33,21.01,15.28,20.57,25.07,23.76,20.23,20.12,19.2,15.08,24.1,20.72,28.14,15.76,26.8,44.67,2.66,21.55,28.6,21.55,17.2,26.24,18.98,12.35,21.9,19.71,20.85,20.69,27.44,21.1,21.78,19.71,18.36,26.9,17.76,12.84,37.55,20.39,23.22,20.12,20.53,17.21,28.59,20.24,20.16,23.84,21.37,18.75,33.09,16.18,16.4,21.11,20.03,26.24,34.27,32.61,25.01,22.01,17.21,19.05,28.59,28.46,28.07,16.39,3.53,12.17,10.68,12.29,20.41,21.9,27.24,18.09,39.64,18.91,19.71,15.98,10.01,18.06,19.01,20.23,13.56,13.34,30.87,28.59,16.39,12.01,21.57,8.76,26.5,33.13,4.61,5.03,20.69,13.81,20.37,20.38,33.1,19.35,12.35,17.83,27.44,16.24,21.38,37.31,17.21,20.72,28.14,15.76,20.53,32.13,19.15,17.66,20.53,26.8,16.4,23.25,18.98,33.35,16.35,13.35,20.71,20.64,19.89,20.55,20.63,23.37,20.38,20.39,23.55,19.13,17.41,35.17,27.82,16.71,23.84,18.75,33.09,19.11,13.78,21.22,21.12,16.66,33.36,33.09,13.8,16.93,21.78,16.27,13.14,25.0,56.79,20.22,36.94,21.86,30.77,15.7,21.18,33.89,30.95,15.71,19.59,15.62,21.28,21.18,18.9,15.44,18.9,17.83,17.83,37.64,18.12,15.19,20.7,18.27,31.72,24.34,17.92,16.52,19.43,29.72,24.34,10.5,24.93,9.91,26.61,38.13,33.96,16.44,24.98,13.14,16.66,21.46,44.2,29.76,29.45,16.14,16.76,10.91,15.98,20.57,21.44,31.53,29.59,32.79,18.34,32.31,25.86,24.93,25.15,12.85,18.31,31.75,21.82,55.93,26.33,9.15,20.74,23.7,19.98,19.03,27.51,36.83,29.8,22.85,33.16,22.85,22.85,17.38,34.85,9.4,13.16,21.1,21.1,21.1,21.1,22.24,9.75,21.01,21.01,21.01,21.01,15.28,21.0,15.42,17.58,22.85,18.11,20.01,26.23,20.22
2002-12-31,24.13,22.5,24.02,25.22,23.34,17.67,16.56,23.02,35.96,35.82,28.49,10.8,20.3,16.14,23.85,17.99,17.31,26.92,16.14,19.51,14.7,19.05,21.82,20.96,18.81,19.03,16.37,14.53,22.62,19.22,26.15,14.85,24.93,41.41,2.88,20.52,31.51,20.52,15.14,25.17,17.43,12.9,20.59,18.41,19.23,19.24,26.47,19.7,20.53,18.07,18.23,25.17,15.78,11.83,35.85,18.98,21.72,19.03,19.17,16.13,27.22,18.81,18.73,21.76,21.2,17.36,28.18,15.16,15.31,19.81,18.64,25.17,32.18,32.48,23.84,22.1,16.13,18.44,27.22,28.53,27.19,14.76,3.71,10.6,10.99,12.57,19.19,20.59,25.47,17.03,34.01,18.07,18.41,15.19,8.36,15.94,17.14,18.81,12.81,12.55,29.48,27.22,14.77,12.09,20.17,7.55,25.65,30.66,4.6,4.91,19.24,13.66,20.28,18.9,30.62,18.48,11.67,16.98,26.47,15.73,20.85,32.95,16.13,19.22,26.15,14.85,18.92,27.27,18.26,16.8,19.17,24.93,15.31,21.14,17.43,30.97,15.53,12.51,19.36,19.24,18.51,19.22,19.24,21.25,20.23,19.22,22.11,19.08,15.84,30.03,25.87,15.6,21.76,17.36,28.18,18.25,12.92,19.78,19.77,16.62,30.96,28.18,12.88,16.1,20.53,15.48,12.02,23.74,49.48,18.71,37.11,20.15,28.02,14.92,19.72,31.47,28.16,14.92,18.67,15.03,19.82,19.72,18.06,14.81,18.06,17.76,17.76,35.25,17.76,15.14,19.16,16.96,26.94,22.36,17.25,16.37,19.45,28.91,24.13,9.29,24.4,10.43,23.88,39.05,33.49,15.81,22.37,12.92,15.5,19.0,39.18,22.64,22.64,15.17,16.2,10.98,14.87,19.05,21.22,31.5,29.35,30.6,16.96,27.34,25.52,23.09,23.09,12.13,18.3,29.23,20.27,49.98,25.24,9.84,19.52,21.51,19.2,18.58,25.04,34.37,26.92,21.44,31.78,21.44,21.44,16.32,27.57,9.49,11.84,19.63,19.63,19.63,19.63,19.91,9.43,19.51,19.51,19.51,19.51,14.7,19.26,14.18,15.6,22.4,16.85,18.64,30.89,18.71
2003-01-31,23.35,20.51,22.49,23.0,21.82,16.93,15.71,21.1,34.47,34.86,27.78,10.02,18.14,14.66,21.66,16.42,14.11,24.5,14.66,18.06,13.81,17.43,20.65,20.16,16.74,16.77,13.67,13.86,22.88,17.79,23.55,14.08,23.03,38.05,13.97,19.44,29.64,19.44,14.35,23.58,15.89,12.4,18.53,16.6,16.69,17.83,25.31,18.08,18.53,15.93,17.97,21.0,16.06,11.85,34.13,17.42,22.21,16.77,17.78,15.66,25.21,16.76,16.5,19.78,18.45,15.9,27.18,13.15,14.35,16.24,17.56,23.58,29.52,30.33,23.68,21.44,15.66,17.75,25.21,26.42,26.42,14.3,9.86,10.92,12.2,12.82,17.83,18.53,23.15,15.36,35.16,16.18,16.6,14.88,8.83,13.81,15.04,16.74,12.7,12.17,28.12,25.21,14.3,11.05,18.51,7.83,22.87,28.21,7.12,5.24,17.83,12.32,18.62,17.4,28.22,17.09,10.46,16.66,25.31,15.55,21.2,28.88,15.66,17.79,23.55,14.08,17.37,26.07,16.61,16.36,17.78,23.03,14.35,19.3,15.89,28.49,15.43,12.66,18.23,17.94,17.19,18.0,17.83,19.39,18.25,17.88,19.12,17.0,14.34,28.65,23.41,14.55,19.78,15.9,27.18,16.57,12.8,18.22,18.3,15.01,28.49,27.18,12.76,15.78,18.53,15.28,12.69,21.54,48.34,17.3,33.26,18.49,25.53,13.97,18.26,29.72,25.6,13.96,17.66,14.15,18.31,18.26,17.28,14.12,17.28,16.04,16.04,33.21,16.54,13.7,17.58,15.47,25.83,19.37,15.92,14.95,17.93,26.83,22.8,8.58,22.95,9.7,22.36,29.3,32.78,15.26,21.7,12.58,15.06,17.59,38.77,20.97,20.97,13.7,15.57,9.71,14.33,17.43,21.33,29.45,28.15,28.22,15.43,26.15,21.45,19.81,19.81,10.86,16.48,26.61,17.6,47.95,21.8,9.24,18.68,19.79,18.28,16.69,25.07,35.2,24.5,20.1,29.75,20.1,20.1,15.21,26.75,8.77,11.42,18.21,18.21,18.21,18.21,18.05,9.17,18.06,18.07,18.07,18.07,13.81,16.89,13.2,14.14,18.27,14.04,16.61,34.55,17.3
2003-02-28,23.21,20.81,23.5,24.17,22.79,16.47,15.59,21.07,35.0,35.18,27.74,9.89,17.81,14.08,22.06,16.24,16.26,24.2,14.08,17.67,13.33,16.82,20.66,19.28,16.29,16.87,13.18,13.65,20.36,17.42,23.18,13.68,22.64,37.58,14.27,19.12,28.86,19.12,14.15,23.28,15.53,11.99,18.16,16.15,15.95,17.48,25.1,17.72,18.21,15.24,17.27,20.03,14.76,11.77,34.09,17.04,21.04,16.87,17.42,15.08,25.06,16.31,16.09,19.16,18.44,15.64,27.61,12.63,13.99,15.52,17.23,23.28,29.12,29.82,23.63,21.54,15.08,17.14,25.06,26.47,26.28,13.75,9.73,10.47,12.41,12.82,17.45,18.16,22.69,15.05,34.09,15.93,16.15,14.85,8.72,13.76,14.62,16.29,12.21,11.89,28.13,25.06,13.75,11.17,18.2,7.75,22.72,27.4,7.04,5.17,17.48,11.98,18.94,16.86,27.63,16.59,9.41,16.22,25.1,15.14,21.48,28.27,15.08,17.42,23.18,13.68,16.75,26.71,16.16,15.92,17.42,22.64,13.99,18.72,15.53,27.71,15.1,11.8,17.91,17.53,16.8,17.7,17.47,18.82,18.23,17.54,18.86,16.78,14.26,27.61,23.02,14.19,19.16,15.64,27.61,16.21,11.91,17.81,18.01,14.55,27.71,27.61,11.87,15.54,18.21,15.22,12.47,21.38,49.28,16.95,35.46,18.07,25.17,13.54,17.87,29.32,25.24,13.52,17.39,13.91,17.92,17.87,17.0,13.85,17.0,14.58,14.58,31.68,16.43,13.29,16.97,15.13,26.32,18.02,15.41,14.7,18.09,27.58,23.1,8.08,22.31,9.22,21.02,31.7,31.75,15.09,21.29,11.86,13.63,16.38,37.31,19.79,19.79,13.59,15.72,9.46,11.76,16.82,22.18,31.15,28.21,27.64,15.12,26.74,20.8,18.37,18.37,9.77,16.25,25.71,16.52,47.84,21.22,8.73,18.71,18.6,18.01,15.34,24.91,33.89,24.2,19.03,28.27,19.03,19.03,14.63,29.34,8.55,11.1,17.8,17.8,17.8,17.8,17.93,8.42,17.67,17.67,17.67,17.67,13.33,16.1,13.05,14.2,17.9,13.46,16.15,32.22,16.95
2003-03-31,23.32,20.95,22.39,24.8,23.37,16.13,15.4,20.43,34.77,36.3,29.86,9.66,17.89,14.26,22.36,17.1,15.76,24.69,14.26,17.86,13.31,16.82,20.47,20.02,15.84,16.72,12.83,13.66,20.2,17.59,23.77,13.58,22.81,36.41,13.99,19.1,29.17,19.1,14.01,23.04,15.18,12.08,17.72,15.8,15.19,17.62,24.83,17.66,17.76,14.6,18.58,19.07,14.04,11.18,32.71,17.02,20.7,16.72,17.35,15.3,24.28,15.85,15.62,19.08,18.39,15.65,27.08,12.41,13.75,14.65,17.36,23.04,28.16,30.58,22.3,22.78,15.3,16.87,24.28,26.1,25.2,13.37,10.04,11.08,12.49,12.51,17.03,17.72,22.33,14.57,32.54,15.95,15.8,14.78,8.38,12.9,14.72,15.84,12.14,11.95,27.11,24.28,13.37,11.51,18.15,7.39,24.46,28.21,7.15,5.14,17.62,11.94,18.98,16.82,28.59,16.5,9.3,16.29,24.83,15.61,21.09,27.72,15.3,17.59,23.77,13.58,16.73,26.32,16.12,16.14,17.35,22.81,13.75,18.63,15.18,28.55,14.94,11.54,17.98,17.46,16.77,17.74,17.37,18.73,18.18,17.11,17.83,16.6,13.63,26.81,23.23,13.95,19.08,15.65,27.08,16.19,11.68,17.76,18.06,14.61,28.54,27.08,11.64,15.54,17.76,15.02,11.82,20.8,49.33,17.1,33.67,18.26,25.61,13.55,18.05,29.69,25.68,13.53,17.49,13.91,18.1,18.05,17.17,13.92,17.17,14.16,14.16,34.09,16.56,13.23,16.96,15.25,25.91,18.23,15.43,13.8,18.46,27.4,24.08,7.19,22.83,9.71,21.45,30.73,34.37,14.57,19.61,12.13,13.5,17.3,39.34,20.08,20.08,13.72,14.88,9.14,11.61,16.82,24.43,29.08,27.85,28.55,15.29,26.45,21.86,18.6,18.6,9.71,15.3,26.85,17.14,48.2,19.77,9.15,18.49,19.01,17.95,15.51,23.69,32.89,24.69,19.14,28.51,19.13,19.13,14.73,29.26,8.79,10.44,17.97,17.97,17.97,17.97,17.96,6.79,17.86,17.86,17.86,17.86,13.31,15.25,12.55,13.64,17.8,13.87,15.71,30.93,17.1
2003-04-30,24.7,21.74,23.67,25.53,24.06,17.93,16.53,21.51,37.52,39.19,33.39,10.26,19.27,15.07,23.2,17.98,15.58,26.48,15.07,19.32,14.52,18.82,22.3,22.02,17.56,18.34,14.03,14.13,19.95,19.06,25.45,14.88,24.2,33.44,13.52,20.34,30.79,20.34,14.99,22.64,17.04,12.96,18.98,17.39,17.11,19.06,24.23,19.03,18.97,16.45,19.31,21.49,16.9,11.05,30.82,18.5,22.24,18.34,18.66,15.8,23.59,17.58,17.39,20.02,18.42,17.14,29.31,13.74,14.93,17.09,18.73,22.64,23.35,27.75,22.61,21.83,15.8,17.86,23.59,24.82,23.01,13.69,10.3,12.59,14.7,14.2,18.15,18.98,23.5,15.73,34.29,16.63,17.39,15.77,9.24,15.13,16.44,17.56,13.41,13.16,26.0,23.59,13.69,12.58,19.57,7.15,27.62,30.09,7.26,5.03,19.06,12.27,18.97,18.77,30.27,17.83,10.34,17.93,24.23,16.11,21.62,27.56,15.81,19.06,25.45,14.88,18.74,28.6,17.68,17.89,18.66,24.2,14.93,19.57,17.04,30.21,15.76,13.83,19.14,18.74,18.19,18.96,18.69,19.67,18.14,18.19,17.52,16.57,15.4,28.25,24.68,15.19,20.02,17.14,29.31,17.15,14.18,19.1,19.35,15.17,30.19,29.31,14.16,16.85,18.97,15.98,11.68,21.96,52.7,18.58,33.83,19.79,27.59,14.6,19.47,31.35,27.67,14.6,18.64,14.88,19.54,19.47,18.25,14.75,18.25,15.12,15.12,35.91,17.76,13.63,18.93,16.79,28.06,20.78,16.85,15.24,18.23,26.25,24.93,8.08,25.1,10.44,23.86,30.38,34.77,15.78,20.49,13.24,13.85,18.09,42.16,21.49,21.49,15.24,16.44,9.41,11.68,18.82,25.13,35.81,30.8,30.14,16.88,28.71,24.22,21.17,21.17,10.75,17.0,27.91,19.46,51.36,21.27,9.91,19.83,21.63,19.45,16.65,26.1,33.41,26.48,20.71,30.28,20.71,20.71,16.04,32.4,9.31,11.6,19.42,19.42,19.42,19.42,20.71,7.47,19.32,19.32,19.32,19.32,14.52,17.31,14.59,15.81,17.89,15.15,17.44,30.45,18.58
2003-05-30,25.32,22.75,24.96,26.6,25.17,18.89,17.43,23.21,39.6,41.3,34.5,11.15,20.0,15.77,24.28,18.62,17.75,27.17,15.77,20.28,15.65,19.87,23.87,19.13,18.21,19.05,14.57,14.8,23.49,20.15,26.17,15.91,30.21,35.35,14.26,21.93,32.7,21.93,16.39,23.89,17.93,13.53,19.76,18.06,17.28,20.18,25.11,20.02,19.82,16.59,19.41,21.71,17.01,11.79,32.24,19.47,22.69,19.05,19.66,16.9,25.3,18.23,17.73,18.96,19.85,17.22,30.86,13.35,14.75,16.9,19.83,23.89,24.82,28.99,23.75,22.63,16.9,17.62,25.3,25.7,24.38,15.14,10.74,12.79,13.01,14.38,18.97,19.76,25.47,16.41,34.92,16.41,18.06,15.94,9.33,15.43,16.18,18.21,13.13,13.37,27.21,25.3,15.14,14.02,20.68,7.83,29.44,30.51,7.4,5.1,20.18,15.6,20.58,19.53,30.6,18.37,10.86,19.22,25.11,16.55,21.63,28.85,16.9,20.15,26.17,15.91,19.53,30.28,18.09,19.2,19.66,30.21,14.75,18.57,17.93,30.7,15.98,14.49,20.28,19.73,19.16,20.07,19.71,18.68,19.57,19.08,18.22,17.84,15.79,29.6,30.86,14.97,18.96,17.22,30.86,17.25,15.13,20.08,20.46,17.44,30.69,30.86,14.81,17.55,19.82,16.2,13.13,23.9,55.21,19.28,39.0,20.69,28.9,15.62,20.59,33.97,28.94,15.6,20.24,16.18,20.64,20.59,19.76,15.95,19.76,16.03,16.03,37.51,17.49,17.5,20.0,16.95,29.66,21.64,17.31,16.91,19.52,29.41,25.61,9.22,25.66,11.48,25.18,34.53,37.66,15.79,23.17,13.59,14.96,18.28,42.97,22.09,22.07,15.64,16.99,10.54,12.91,19.85,26.21,37.84,32.42,30.29,17.01,30.17,26.01,22.09,21.9,11.3,19.4,27.49,21.16,51.68,21.53,11.0,20.78,23.35,20.59,17.28,29.03,37.45,27.17,22.36,32.17,22.36,22.36,17.56,36.17,9.71,12.56,20.44,20.44,20.44,20.44,23.86,8.8,20.28,20.29,20.29,20.29,15.65,17.41,15.02,16.22,19.17,15.56,18.17,35.55,19.28
2003-06-30,25.24,23.17,24.76,27.24,25.52,19.3,17.61,23.07,40.34,42.03,34.57,11.21,22.13,15.93,24.64,18.75,17.73,27.77,15.93,20.42,15.57,19.67,23.91,19.33,18.36,19.3,16.05,15.92,24.03,20.28,35.75,14.1,30.58,40.31,12.71,21.99,35.07,21.99,15.88,24.81,17.98,13.37,20.05,18.2,17.89,20.32,26.22,20.21,20.11,17.19,19.64,22.59,17.78,12.23,33.88,19.61,23.22,19.3,19.86,17.18,26.31,18.38,18.2,20.21,20.18,17.63,30.97,13.52,14.87,17.44,19.96,24.81,26.61,29.4,25.8,24.13,17.18,18.49,26.31,25.15,27.32,15.62,10.41,10.12,13.43,13.47,19.27,20.05,25.75,16.72,37.81,16.77,18.2,16.48,10.03,15.97,16.89,18.36,13.38,13.59,28.69,26.31,15.62,14.07,20.85,8.2,32.97,31.92,7.51,5.28,20.32,15.98,20.54,19.66,32.2,19.34,11.05,19.51,26.22,16.97,22.67,31.82,17.18,20.28,35.75,14.1,19.61,30.02,18.78,19.5,19.86,30.58,14.87,19.82,17.98,32.07,16.59,14.92,20.49,19.97,19.31,20.24,19.91,19.94,19.85,19.38,19.78,18.38,16.36,32.24,31.24,15.08,20.21,17.63,30.97,17.86,15.22,20.31,20.61,17.67,32.01,30.98,15.2,17.99,20.11,16.73,13.26,23.83,55.65,19.47,36.53,21.3,31.97,15.09,20.74,32.58,32.14,15.12,19.52,15.75,20.89,20.74,18.23,14.68,18.23,16.76,16.76,41.5,17.33,17.69,19.81,17.06,29.75,21.13,17.3,17.77,19.4,28.74,25.92,9.33,25.17,11.55,25.63,32.61,39.52,16.13,23.4,13.42,16.09,17.8,47.63,21.61,21.61,15.81,16.83,10.71,13.08,19.67,23.72,38.75,33.48,31.83,17.09,30.26,25.99,21.33,21.33,11.46,19.87,29.17,20.61,50.78,21.55,10.95,20.81,24.76,20.89,17.93,30.08,37.21,27.77,22.89,34.87,22.89,22.89,17.21,35.51,9.24,13.56,20.59,20.59,20.59,20.59,23.24,12.33,20.42,20.42,20.42,20.42,15.57,18.2,15.62,16.8,21.26,15.66,18.34,37.34,19.47
