,CUR_MKT_CAP
BBREAPT Index,130251252752.0
BBREINDW Index,149249868878.648
BBRELRGC Index,1302777710474.31
BBREPBST Index,103135745046.977
BBRERTL Index,168880750659.048
BBRESHOP Index,57326827726.7781
BKX Index,1437461026924.0
BPITT Index,1223422429927.1902
CBNK Index,387345970253.0
CCMP Index,19572165024812.0
CIND Index,6197103045119.0
CTRN Index,280968211723.02795
DJDVP Index,4509071001576.71
DJGT Index,18645697488023.0
DJI Index,9747881672980.0
DWRSF Index,958628513641.0499
FIDINTFP Index,6862373014102.09
HGX Index,155470064084.0
IGX Index,21873130681012.0
INDU Index,9747881672980.0
INX Index,34255995793362.996
IVX Index,23030246424073.0
IXM Index,3667777746419.0
IXT Index,8980997476289.0
IXY Index,4289801676229.0
M3AU Index,1129061431038.9875
M3CA Index,2007365047966.0215
M3EU Index,10629906700076.86
M3FR Index,2210492761823.723
M3GB Index,2139591269309.2375
M3JP Index,3880843406702.6587
M3KR Index,1100106516633.5364
M3PH Index,130938499247.04854
M3SG Index,324147945067.9891
M3TR Index,52887886762.70605
M3TW Index,1105102147151.635
M6US Index,36351927829338.0
M6US000G Index,19568844284209.9
M6US000V Index,20114433768744.5
MGLEACWF Index,40873344345881.0
MGUAJN Index,2107729956617.1533
MGUEBZ Index,350474967222.0793
MID Index,2202271112697.0
MIDG Index,1400861873718.0
MIDL1 Index,2202271112697.0
MIDV Index,1527551988853.0
MSALAAPF Index,20408036941795.0
MSCLFNCL Index,11200758369078.0
MSCLUTI Index,2619829193912.35
MSDLEAFE Index,16827151753107.998
MSDLEASE Index,12946308499775.0
MSDLEMU Index,5727993526540.07
MSDLNA Index,38359292979060.0
MSDLP Index,6061785851033.21
MSDLWI Index,55186444732167.0
MSDLWXUS Index,18834516902830.0
MSDLXUXZ Index,6973248140567.664
MSDUAS Index,1129061431038.9875
MSDUFR Index,2210492761823.723
MSDUGR Index,1323865211467.5916
MSDUHK Index,695927495010.1173
MSDUJN Index,3880843406702.6587
MSDUKOK Index,51305601478835.0
MSDUSZ Index,1517067331966.376
MSDUUK Index,2139591269309.2375
MSELACWF Index,74251349243209.0
MSELCAPF Index,16527193688462.0
MSELCFEF Index,16968272862305.0
MSELE18 Index,10810004042501.0
MSEUEU Index,6857524445934.612
MSGLCDIS Index,6962430214864.5
MSGLENR Index,2759154030235.35
MSGLIND Index,5606079063305.51
MSGLIT Index,11024332442222.7
MSRLMAT Index,685375801592.0214
MVLEACWF Index,41789420934482.0
MVUDFR Index,813299632727.6718
MVUECO Index,11475896180.230814
MXAM Index,39394703350033.0
MXAP Index,20408036941795.0
MXAP0CD Index,2544117388446.4697
MXAP0HC Index,1293225410247.33
MXAP0IN Index,2584227823151.68
MXAP0MT Index,1649645700544.67
MXAPJ Index,16527193688462.0
MXAPJCS Index,1616724641724.87
MXAS Index,19247169740197.0
MXAS0CS Index,1820100530450.18
MXAS0MT Index,1403588807236.47
MXASJ Index,15366326486864.0
MXASJMT Index,1230989281004.6902
MXBR Index,609760233495.709
MXBR0CD Index,18338844842.9527
MXCASC Index,340552735847.21204
MXCHSC Index,161668055442.86398
MXCL Index,81726853324.3212
MXCL0FN Index,21549245643.0466
MXDESC Index,161966693169.215
MXE2 Index,35892056264150.0
MXEA Index,16827151753107.998
MXEA000G Index,9623924100654.0
MXEA000V Index,9402268511574.0
MXEA0IT Index,1248902598295.32
MXEA0MT Index,1115063979303.23
MXEA0TC Index,1006930036660.56
MXEAJ Index,12946308499775.0
