TICKER,CUR_MKT_CAP
A,38212.9167756
AA,7940.098193400001
AAL,9208.3817701827
AAON,3059.2774875499995
AAP,9978.42530922
AAPL,2450548.61872
AAT,1637.8907918999998
AAWW,2810.29124232
AB,4080.6259698831
ABBV,250822.1687807
ABC,28980.899004360002
ABCB,3365.3498200800004
ABG,3476.8606923
ABM,2687.7370702
ABMD,11531.60783544
ABR,2734.347085735
ABT,180428.17012129002
ABTX,879.64403085
ABUS,319.39479078
AC,851.8318533
ACAD,2877.5718293000004
ACC,9124.97995344
ACCO,514.19335133
ACGL,17386.361554799998
ACHC,7620.65224501
ACIW,2458.8589255999996
ACLS,2010.1061823500002
ACM,10019.86633375
ACN,180780.55127427002
ACRE,695.994470955
ACRS,937.4048050000001
ACTG,158.20440363
ADBE,137686.20794659082
ADC,5758.3330837799995
ADI,76611.17104245
ADM,48724.01157748
ADNT,3102.30298792
ADP,97006.59508464
ADSK,41753.61565464
ADTN,1409.8206219300002
ADUS,1475.37091975
AEE,23605.050876499998
AEIS,3128.8143237500003
AEL,3366.6211072650003
AEO,2012.902336445
AEP,51306.61298208
AER,11007.860184674999
AERI,747.8605939649999
AES,17539.936651120002
AFG,11033.62797668
AFL,37719.094571819995
AFMD,331.43439384000004
AGCO,7867.8591811900005
AGEN,644.1956020499999
AGLE,29.60749484
AGM,1141.16842348865
AGNC,5872.790871464999
AGO,3323.23352695
AGR,19222.95676532
AGX,461.30237887500004
AGYS,1223.3415492899999
AHH,1113.094584
AHT,307.0453542
AIG,41085.28420629
AIMC,2345.971179245
AIN,2611.46708397
AIR,1390.01930184
AIT,4055.39300068
AIV,1334.3443533299999
AIZ,8232.546454559999
AJG,37864.686720000005
AJRD,3470.87877225
AJX,210.05511912
AKAM,13991.40772686
AKBA,67.10475871
AKR,1459.5744877500001
AKTS,207.36702662500002
AL,3879.00555306
ALB,34478.022676680004
ALBO,330.27465156
ALCO,248.5499562
ALE,3321.5884794000003
ALEX,1289.28434229
ALG,1504.98608129
ALGN,18653.7967417
ALGT,1670.8634918000002
ALK,5812.800408404999
ALKS,3744.9974700000002
ALL,35114.09983708
ALLE,7979.20791696
ALLY,10116.69328965
ALNY,25476.83741334
ALPN,241.07738447
ALRM,3288.7937907600003
ALRS,463.09918389000006
ALSN,3419.5726632100004
ALT,647.1333132
ALTO,311.19123309
ALV,6509.95485075
ALX,1175.4938664
AM,4815.67888428
AMAT,76705.0980223823
AMBA,2453.29454904
AMBC,664.10231363
AMC,6969.325723575001
AMCX,998.2926603400001
AMD,123188.827879
AME,27418.538279880002
AMED,3812.41700091
AMEH,2181.10650884
AMG,4716.38038804
AMGN,122670.34252199999
AMH,12297.4667186
AMKR,4451.1564943799995
AMN,4551.84195387
AMNB,365.55328144000003
AMOT,457.77717765
AMP,29815.826139299996
AMPH,1392.0308848
AMR,2362.74683296
AMRC,3693.1648762500004
AMRK,599.54578644
AMRN,473.76647895
AMRS,1177.31851328
AMRX,689.00271475
AMSC,152.25767544
AMSF,921.0028848
AMSWA,517.2435775
AMT,114175.87744884
AMTX,280.47791877
AMWD,820.78581726
AMZN,1256300.7350022697
AN,6153.15593726
ANAB,703.4387709199999
ANDE,1122.9430353476002
ANET,34736.65708528
ANF,778.152694965
ANGI,1572.7789312500001
ANGO,830.0630022000001
ANIK,333.535560765
ANIP,601.7473499800001
ANSS,20759.78179595
AON,58318.80725493
AOS,8051.378983830001
AOSL,912.3000638999999
APA,13247.332323640001
APAM,2539.25971431
APD,54702.282930659996
APEI,149.32304205
APH,43113.14409456
APLE,3615.133901535
APO,31469.062833829998
APOG,864.5593895400001
APPF,3558.55319505
APPN,3259.880145845
APPS,1622.01750276
APTV,25581.47252108
APYX,188.07730496000002
AQB,69.475166601
AR,11409.05904335
ARAY,203.36141249999997
ARCB,1795.5279240000002
ARCC,9489.6058098
ARCH,2360.54730078
ARCO,1593.1477329250001
ARCT,391.20397504000005
ARDX,203.34578112499997
ARE,24042.84797355
ARGO,822.62536713
ARI,1566.2393843
ARLP,3085.75601294
ARMK,9630.872780040001
AROC,1098.7095136199998
AROW,525.60163376
ARR,748.5636833300001
ARTNA,519.49740661
ARW,6195.197607059999
ARWR,3564.99307384
ASB,3153.40754376
ASGN,4722.314
ASH,5340.31002144
ASIX,968.7672839100001
ASND,5968.22912666
ASPN,493.78034871000006
ASTE,817.64921736
ASXC,122.99915239079998
ATEC,885.3934231800001
ATEN,973.859390765
ATEX,680.6719686299999
ATGE,1649.0461881599997
ATHM,4097.79252096
ATHX,21.2348539183
ATI,4010.0790000600005
ATKR,3266.4144573
ATLC,406.29404043999995
ATNI,666.7893243
ATNX,56.4531492618
ATO,16005.73379797
ATOM,262.74109152
ATR,6769.56657
ATRA,352.4432652
ATRC,2024.57907372
ATRI,1055.9124165800001
ATRO,314.06293997
ATSG,1948.4137231999998
ATUS,3703.1686972650004
ATVI,59142.378355199995
AUB,2556.35288028
AUD,62.32635541129999
AUPH,1074.833271075
AVA,2946.08742439
AVAV,2239.27334061
AVB,27883.684156019997
AVD,607.5121536
AVGO,201638.07489872002
AVID,1044.5333418
AVNS,1064.5529412
AVNT,3403.76977649
AVNW,342.97738482
AVT,3603.9969025200003
AVY,14355.975706725
AWH,59.513110574399995
AWI,3898.67787364
AWK,26631.7182945
AWR,3146.50399536
AX,2404.8271552
AXDX,171.07451328000002
AXGN,468.08072505
AXL,1005.75644544
AXON,8247.157946210002
AXP,115333.70238187001
AXS,4568.91179073
AXTA,5401.2246833
AXTI,332.85002776
AY,3709.6293894899995
AYI,5236.87245129
AYX,4418.9475149400005
AZO,41120.7826499
AZTA,3704.8826515399996
AZZ,995.6346813099999
B,1556.4575465399998
BA,85796.806752965
BABA,228478.6240148256
BAC,276452.398655125
BAH,12551.293916699999
BALL,17642.15429112
BANC,1042.4501406000002
BANF,3258.2673525
BANR,2129.3842236999994
BAP,10238.9952
BAX,28957.616515
BBBY,621.27093273
BBCP,396.198831
BBSI,575.88452568
BBWI,8738.74320174
BBY,16256.695573469999
BC,5450.533252710001
BCC,2396.0538446600003
BCO,2497.2718518
BCOR,931.5278937600001
BCOV,278.29465648080003
BCPC,3985.5231794399997
BCRX,2461.9306063416
BDC,2822.5809453999996
BDN,1406.014568365
