,β₀,β₁
MXUS0FN,0.2911,-0.093
MXUS0HC,0.5784,-0.151
MXUS0IN,0.4462,-0.1234
MXUS0MT,0.9242,-0.2888
MXUS0UT,0.3642,-0.1242
MXUSSC,0.9163,-0.2722
MXWD0IT,0.7506,-0.1925
NDQ,0.9737,-0.2255
OEX,0.4534,-0.1333
OSX,-0.4981,0.1487
RAG,0.7476,-0.1971
RDG,0.7333,-0.184
RLG,0.775,-0.2046
RLV,0.5017,-0.1623
RMC,0.7859,-0.2297
RMV,0.6525,-0.2053
MIDG,0.8489,-0.2171
MIDV,0.956,-0.3051
MSDUWI,0.4687,-0.1407
MXKO0EN,-0.2165,0.0836
MXNASC,0.8829,-0.2627
MXUS0CD,0.5531,-0.1427
MXUS0CS,0.2431,-0.0648
MXUS0EN,-0.2198,0.0884
BKX,0.4132,-0.1615
CCMP,1.0641,-0.2713
DJDVP,0.3313,-0.1085
DWRSF,0.4561,-0.1164
INDU,0.4274,-0.1258
IXK,1.1006,-0.2683
IXT,0.5202,-0.1279
MID,0.8587,-0.2445
RTY,0.9259,-0.2783
RUJ,0.8648,-0.2821
S6COND,0.9345,-0.2792
S6INFT,1.1658,-0.3086
SGX,0.4159,-0.0998
SML,0.9875,-0.2817
SMLG,0.9695,-0.2483
SMLV,1.033,-0.3245
SOX,1.2086,-0.3211
SPSIHO,0.3937,-0.1183
SPSIMM,0.382,-0.1277
SPW,0.6801,-0.2018
SPX,0.6705,-0.1978
SVX,0.6372,-0.2164
