TICKER,NAME,CLASSIFICATION,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
AA,Alcoa Corp,U.S. Small-cap Value Common Stock,17.05,-0.0284,-0.2769,0.2197,0.0029,2.51,52.54,0.0389
AAON,AAON Inc,U.S. Small-cap Growth Common Stock,81.03,0.0961,-0.0562,0.2486,0.0,11.71,57.69,0.1861
ABC,AmerisourceBergen Corp,U.S. Large-cap Value Common Stock,28.7,0.1129,0.0086,0.2185,0.0,12.53,65.29,0.6444
ABCB,Ameris Bancorp,U.S. Small-cap Blend Common Stock,12.02,0.1177,-0.1723,0.407,0.0004,3.92,119.22,0.0362
ABM,ABM Industries Inc,U.S. Small-cap Value Common Stock,16.76,0.0737,-0.0122,0.159,0.0,9.93,25.27,0.2925
ABT,Abbott Laboratories,U.S. Large-cap Growth Common Stock,38.39,0.1939,0.0582,0.3297,0.0031,5.78,22.03,0.052
ACIW,ACI Worldwide Inc,U.S. Small-cap Blend Common Stock,26.45,0.1655,-0.0181,0.3477,0.0,10.91,60.92,0.3479
ACNB,ACNB Corp,U.S. Small-cap Blend Common Stock,11.07,0.0633,-0.0956,0.2219,0.0082,3.52,16.95,0.0149
ADBE,Adobe Inc,U.S. Large-cap Growth Common Stock,86.12,0.1195,-0.1498,0.3882,0.0,17.47,160.9,0.1516
ADI,Analog Devices Inc,U.S. Large-cap Growth Common Stock,34.55,0.058,-0.1121,0.2279,0.0,8.62,147.05,0.4585
ADM,Archer-Daniels-Midland Co,U.S. Large-cap Value Common Stock,18.74,0.0247,-0.1188,0.1686,0.0,6.24,31.81,0.3986
ADP,Automatic Data Processing Inc,U.S. Large-cap Growth Common Stock,42.73,0.0682,-0.0963,0.233,0.0271,11.18,38.58,0.037
ADSK,Autodesk Inc,U.S. Large-cap Growth Common Stock,328.0,-0.0071,-0.2977,0.2842,0.0,13.65,692.88,0.1667
ADTN,ADTRAN Holdings Inc,U.S. Small-cap Value Common Stock,66.15,-0.0896,-0.269,0.0895,0.0042,9.87,42.72,0.0705
AEIS,Advanced Energy Industries Inc,U.S. Small-cap Blend Common Stock,31.83,0.1702,-0.1028,0.4428,0.0,20.89,175.61,0.2379
AEO,American Eagle Outfitters Inc,U.S. Small-cap Value Common Stock,11.11,0.0878,-0.1521,0.328,0.0391,5.73,43.14,0.0223
AEP,American Electric Power Co Inc,U.S. Large-cap Blend Common Stock,17.77,0.1208,-0.0019,0.2434,0.0003,3.09,17.92,0.0627
AES,AES Corp/The,U.S. Mid-cap Blend Common Stock,13.59,0.0117,-0.1551,0.1786,0.0,1.93,92.73,0.7591
AFG,American Financial Group Inc/OH,U.S. Mid-cap Blend Common Stock,13.46,0.0643,-0.0494,0.1789,0.0,4.08,14.35,0.3735
AFL,Aflac Inc,U.S. Large-cap Blend Common Stock,14.98,0.1007,-0.0132,0.2145,0.0,5.0,32.38,0.1615
AGCO,AGCO Corp,U.S. Mid-cap Value Common Stock,18.94,0.0638,-0.0794,0.2075,0.0,2.52,44.34,0.2724
AGM,Federal Agricultural Mortgage Corp,U.S. Small-cap Blend Common Stock,17.74,-0.0522,-0.2742,0.1696,0.0,0.93,27.06,0.6482
AIN,Albany International Corp,U.S. Small-cap Blend Common Stock,31.36,0.0574,-0.1686,0.2835,0.0158,3.82,48.01,0.0329
AIR,AAR Corp,U.S. Small-cap Blend Common Stock,27.44,-0.0647,-0.1928,0.0612,0.0,4.33,45.32,0.7945
AIT,Applied Industrial Technologies Inc,U.S. Small-cap Blend Common Stock,30.63,0.0144,-0.1149,0.1439,0.0,6.98,27.91,0.4798
AKR,Acadia Realty Trust,Real Estate REIT,29.35,0.0886,-0.0334,0.2131,0.0,8.52,76.32,0.7959
ALB,Albemarle Corp,U.S. Mid-cap Blend Common Stock,26.61,0.114,-0.0199,0.248,0.0,8.3,34.72,0.172
ALCO,Alico Inc,U.S. Small-cap Growth Common Stock,56.47,-0.0984,-0.2689,0.0726,0.0,9.23,78.5,0.4591
ALE,ALLETE Inc,U.S. Small-cap Blend Common Stock,15.42,0.059,-0.0609,0.1789,0.0,1.81,22.76,0.1186
ALK,Alaska Air Group Inc,U.S. Mid-cap Value Common Stock,13.13,0.0658,-0.3148,0.4455,0.038,9.99,212.71,0.0463
ALL,Allstate Corp/The,U.S. Mid-cap Value Common Stock,13.32,0.0525,-0.1394,0.2441,0.0,2.81,23.01,0.1788
AMAT,Applied Materials Inc,U.S. Large-cap Growth Common Stock,35.84,0.0387,-0.2193,0.2952,0.0,9.63,149.95,0.3246
AME,AMETEK Inc,U.S. Large-cap Growth Common Stock,41.82,0.1022,-0.0011,0.2064,0.0,11.85,41.95,0.5348
AMGN,Amgen Inc,U.S. Large-cap Growth Common Stock,17.02,0.1642,0.0158,0.3135,0.0,11.11,94.04,0.4873
AMNB,American National Bankshares Inc,U.S. Small-cap Blend Common Stock,13.73,0.0302,-0.0843,0.1442,0.0,4.45,18.88,0.1034
AMWD,American Woodmark Corp,U.S. Small-cap Value Common Stock,19.7,0.1252,-0.1814,0.4324,0.0,8.61,122.27,0.0846
AN,AutoNation Inc,U.S. Mid-cap Value Common Stock,16.35,0.1668,-0.0138,0.3466,0.0,5.77,212.59,0.4681
ANDE,Andersons Inc/The,U.S. Small-cap Value Common Stock,22.04,-0.0039,-0.2698,0.2625,0.0,5.46,46.45,0.4034
ANF,Abercrombie & Fitch Co,U.S. Small-cap Value Common Stock,24.16,-0.0871,-0.3185,0.1448,0.0001,4.17,29.05,0.1284
ANSS,ANSYS Inc,U.S. Mid-cap Growth Common Stock,69.64,0.1124,0.0008,0.2242,0.0,24.52,82.54,0.6756
AOS,A O Smith Corp,U.S. Mid-cap Blend Common Stock,23.6,0.1577,-0.0778,0.3935,0.0074,5.62,56.05,0.026
APA,APA Corp,U.S. Mid-cap Blend Common Stock,12.8,-0.0502,-0.2758,0.1767,0.0,5.04,53.15,0.5503
APH,Amphenol Corp,U.S. Large-cap Growth Common Stock,33.47,0.1962,0.1108,0.2802,0.0,19.39,81.74,0.614
APOG,Apogee Enterprises Inc,U.S. Small-cap Value Common Stock,15.64,0.0968,-0.107,0.3009,0.0,4.21,44.55,0.4972
ARCB,ArcBest Corp,U.S. Small-cap Value Common Stock,25.47,0.0855,-0.1946,0.3656,0.0001,4.97,280.3,0.1271
AROW,Arrow Financial Corp,U.S. Small-cap Blend Common Stock,8.17,0.1168,0.0337,0.2004,0.0,4.94,18.34,0.457
ARTNA,Artesian Resources Corp,U.S. Small-cap Growth Common Stock,25.64,0.0737,-0.0222,0.1698,0.0,8.16,31.78,0.0866
ARW,Arrow Electronics Inc,U.S. Mid-cap Value Common Stock,13.07,0.0965,-0.0113,0.2031,0.0,6.71,27.34,0.6089
ASB,Associated Banc-Corp,U.S. Small-cap Blend Common Stock,9.9,0.0288,-0.1595,0.2183,0.0,3.66,28.12,0.2029
ASGN,ASGN Inc,U.S. Small-cap Value Common Stock,21.38,0.1601,-0.2206,0.5415,0.0031,6.05,113.62,0.0865
ASH,Ashland Inc,U.S. Small-cap Blend Common Stock,21.47,0.0248,-0.1892,0.2395,0.0004,0.77,22.9,0.1905
ASTE,Astec Industries Inc,U.S. Small-cap Value Common Stock,33.29,-0.0281,-0.1648,0.1105,0.0,6.44,53.52,0.6143
