,F_PVALUE
AA,0.038
AAON,0.0
AAPL,0.0507
ABC,0.0
ABCB,0.0074
ABM,0.0
ABT,0.0288
ACIW,0.0
ACNB,0.0256
ADBE,0.0
ADC,0.2503
ADI,0.0
ADM,0.0
ADP,0.0052
ADSK,0.0
ADTN,0.0031
AEIS,0.0
AEO,0.0748
AEP,0.0001
AES,0.0
AFG,0.0
AFL,0.0
AGCO,0.0
AGM,0.0
AIN,0.0078
AIR,0.0
AIT,0.0
AJG,0.4034
AKR,0.0
ALB,0.0
ALCO,0.0
ALE,0.0
ALG,0.2068
ALK,0.1792
ALL,0.0
ALX,0.0146
AMAT,0.0
AME,0.0
AMGN,0.0
AMNB,0.0
AMWD,0.0018
AN,0.0
ANDE,0.0
ANF,0.0001
ANSS,0.0
AON,0.6101
AOS,0.0484
APA,0.0
APD,0.0953
APH,0.0
APOG,0.0
ARCB,0.0038
AROW,0.0
ARTNA,0.0
ARW,0.0
ASB,0.0
ASGN,0.005
ASH,0.0008
ASTE,0.0
ATGE,0.0025
ATNI,0.0
ATO,0.0085
ATR,0.0
ATRO,0.0
AUB,0.0
AVA,0.4241
AVB,0.0
AVD,0.0
AVNT,0.0
AVT,0.0
AVY,0.0002
AWR,0.0
AXP,0.0
AZO,0.0
AZZ,0.0
B,0.0
BA,0.0
BALL,0.0
BANF,0.0
BAX,0.0
BBBY,0.0
BBSI,0.0
BBWI,0.0
BBY,0.0
BC,0.0032
BCO,0.0
BCPC,0.0
BDX,0.0
BEN,0.001
BF/A,0.0
BF/B,0.0027
BFS,0.0
BH,0.0
BHB,0.0
BHE,0.0
BIG,0.0
BIIB,0.0
BIO,0.0
BK,0.0
BKE,0.0
BKH,0.0001
BMI,0.0
BMY,0.0
BOH,0.0
BOKF,0.0
BOOM,0.0
BRC,0.0
BRK/B,0.0
BRO,0.0
BSX,0.0
BWA,0.0
BYD,0.0
CAC,0.0
CACC,0.0
CACI,0.0
CADE,0.0
CAG,0.0
CAH,0.0
CAKE,0.0
CAL,0.0
CALM,0.8775
CASH,0.0
CASS,0.0
CASY,0.0072
CAT,0.0
CATO,0.0
CATY,0.0
CB,0.0
CBRL,0.0
CBSH,0.0813
CBT,0.0
CBU,0.0043
CCBG,0.0001
CCF,0.0
CCK,0.0
CCL,0.0
CDNS,0.0776
CENT,0.0
CFR,0.0
CGNX,0.0165
CHCO,0.0
CHD,0.0
CHDN,0.0
CHE,0.0134
CHS,0.9079
CI,0.0
CINF,0.0
CL,0.0
CLF,0.0
CLX,0.0
CMA,0.0031
CMC,0.0
CMCO,0.0
CMI,0.0
CMS,0.0372
CMTL,0.6973
CNMD,0.0022
CNOB,0.0
CNP,0.9466
COF,0.0
COHR,0.0
COKE,0.2483
COLB,0.0
COO,0.0121
COP,0.1455
COST,0.8518
CPB,0.0
CPK,0.0
CPRT,0.0
CPT,0.0039
CR,0.0
CRD/A,0.0
CRMT,0.401
CRS,0.0
CRVL,0.0
CSCO,0.0
CSGS,0.0
CSL,0.0
CSX,0.0512
CTAS,0.0
CTBI,0.0
CTO,0.0
CTRA,0.0151
CTS,0.0003
CVBF,0.0
CVS,0.0
CVX,0.0042
CW,0.0
CWT,0.0012
D,0.0
DCI,0.0
DCO,0.0546
DDS,0.0006
DE,0.0
DECK,0.0
DGICA,0.0
DGII,0.0
DHI,0.0327
DHR,0.0
DIN,0.0
DINO,0.0
DIOD,0.0
DIS,0.0
DJCO,0.0
DLTR,0.0
DLX,0.0
DORM,0.0
DOV,0.0
DRI,0.0
DTE,0.0026
DUK,0.7306
DVA,0.1474
DVN,0.0
DY,0.0
EA,0.0001
EAT,0.0
EBF,0.0
ECL,0.0
ED,0.3099
EFX,0.0017
EGP,0.9815
EIX,0.0
EL,0.002
ELS,0.0003
EMN,0.0154
EMR,0.0
EOG,0.0
EPAC,0.0
EQC,0.0104
EQR,0.0
EQT,0.0
ES,0.0175
ESE,0.0
ESS,0.0
ESTE,0.0
ETD,0.0
ETN,0.0
ETR,0.0
EXP,0.0
EXPD,0.2447
EXPO,0.3191
EZPW,0.642
F,0.133
FAST,0.0
FBNC,0.0197
FCBC,0.0
FCF,0.0117
FCN,0.0
FCNCA,0.7614
FCX,0.0005
FDS,0.0
FDX,0.0
FELE,0.0
FFBC,0.3796
FFIC,0.0
FFIN,0.0672
FHN,0.6295
FICO,0.0
FISV,0.0
FITB,0.0
FIZZ,0.0
FL,0.0
FLIC,0.0
FLR,0.0048
FLS,0.0
FMC,0.0393
FMNB,0.0
FNB,0.0
FNLC,0.0
FOSL,0.6828
FRME,0.0
FRPH,0.0
FRT,0.0
FSS,0.0735
FUL,0.0
FULT,0.0
FWRD,0.0
GABC,0.2311
GATX,0.5554
GBCI,0.0
GBX,0.0
GCO,0.2982
GD,0.0
GE,0.0
GEF,0.0
GEF/B,0.0
GEO,0.0
GFF,0.0
GGG,0.0
GHC,0.0
GIC,0.0
GIII,0.0157
GIS,0.0
GL,0.0
GLT,0.0
GLW,0.0
GNTX,0.0
GPC,0.0
GPS,0.0
GRC,0.0
GSBC,0.0
GVA,0.0
GWW,0.0
HAE,0.0
HAIN,0.0
HAL,0.0003
HAS,0.0
HBAN,0.0
HCSG,0.0
HD,0.0
HE,0.0003
HEI,0.0
HEI/A,0.5732
HELE,0.0
HES,0.1395
HIBB,0.0
HIFS,0.0
HIG,0.0
HIW,0.0
HMN,0.0
HNI,0.0
HOG,0.0595
HOLX,0.0
HON,0.0001
HP,0.5671
HPQ,0.0
HRB,0.0
HRL,0.0
HSC,0.0
HSIC,0.0
HSY,0.0
HTLD,0.0
HTLF,0.0
HUBB,0.0
HUM,0.0
HVT,0.0691
HWKN,0.0
IBM,0.0903
IBOC,0.0
ICUI,0.0
IDA,0.0
IDXX,0.0008
IEX,0.0075
IFF,0.0025
IMKTA,0.0
INDB,0.9119
INT,0.0
INTC,0.0
INTU,0.0
IP,0.0002
IPAR,0.0
IPG,0.0049
IT,0.1986
ITIC,0.0
ITT,0.0
ITW,0.0
J,0.0
JACK,0.0
JBHT,0.0
JBL,0.0
JBSS,0.0
JJSF,0.0
JKHY,0.0
JNJ,0.0
JOE,0.0001
JOUT,0.0
JWN,0.0
K,0.0
KAI,0.1965
KAMN,0.0
KBAL,0.0657
KELYA,0.0368
KEX,0.0112
KEY,0.003
KIM,0.0
KLAC,0.0
KMB,0.0
KMPR,0.0
KMT,0.0
KO,0.0
KR,0.0
KSS,0.7098
KWR,0.9443
L,0.0
LANC,0.6424
LCII,0.0
LCUT,0.0
LECO,0.0
LEG,0.0
LEN,0.0
LFUS,0.0
LH,0.0
LHX,0.0
LKFN,0.0
LLY,0.0
LMT,0.0
LNC,0.0
LNN,0.0
LNT,0.0001
LOW,0.0
LRCX,0.0
LSCC,0.0056
LSI,0.1414
LSTR,0.0
LUMN,0.0
LUV,0.0
LZB,0.0292
M,0.0
MAA,0.0
MAC,0.0
MAN,0.0
MAS,0.006
MAT,0.0
MATV,0.0
MATW,0.0
MATX,0.0815
MCD,0.0
MCHP,0.0
MCK,0.0
MCRI,0.0
MCS,0.0
MCY,0.0
MD,0.0031
MDC,0.0018
MDT,0.0
MDU,0.0
MEI,0.6952
MGEE,0.0065
MGRC,0.0001
MHK,0.0
MHO,0.0003
MIDD,0.0
MKC,0.0
MKL,0.0
MLAB,0.1815
MLI,0.0003
MLKN,0.0
MLM,0.0
MMC,0.0367
MMM,0.0
MMSI,0.0
MNRO,0.0
MO,0.0
MOD,0.0285
MOG/A,0.0
MOV,0.0
MPAA,0.0
MRK,0.0
MRO,0.0032
MRTN,0.0
MS,0.0374
MSA,0.0
MSEX,0.0121
MSFT,0.0
MSM,0.0
MTB,0.0
MTRN,0.0
MTW,0.0
MTX,0.0
MTZ,0.0
MUR,0.0
MYE,0.0
NATI,0.0
NBN,0.0
NBTB,0.0
NCR,0.0
NDSN,0.303
NEE,0.0
NEM,0.0
NEOG,0.0
NEU,0.0022
NFG,0.0
NHC,0.0
NHI,0.0
NI,0.7473
NJR,0.0
NKE,0.7533
NL,0.0
NNN,0.0
NOC,0.758
NPK,0.0272
NR,0.0007
NSC,0.0
NSIT,0.0
NSSC,0.0
NTAP,0.0
NTRS,0.0
NUE,0.0
NVR,0.0923
NWBI,0.0
NWL,0.0
NWN,0.0
NXGN,0.1159
NYCB,0.0
NYT,0.0
O,0.0
OCFC,0.0
ODFL,0.0
OFC,0.0
OFIX,0.0
OGE,0.0
OHI,0.0
OI,0.0
OII,0.4744
OKE,0.0
OLN,0.9317
OLP,0.0001
OMC,0.0
OMI,0.0344
ONB,0.0774
OPY,0.0
ORCL,0.0
ORI,0.5957
ORLY,0.0
OTTR,0.0508
OVV,0.0008
OXM,0.0
OXY,0.0
PAG,0.0
PAYX,0.0
PBI,0.1166
PCAR,0.0
PCG,0.0
PCH,0.8981
PDCE,0.0
PDCO,0.7379
PEAK,0.0
PEBO,0.0
PEG,0.0
PEGA,0.0005
PENN,0.0
PEP,0.0
PFC,0.0
PFE,0.0
PG,0.0
PGR,0.0
PH,0.0
PHM,0.0013
PII,0.0
PKE,0.0
PKI,0.0
PLAB,0.0
PLXS,0.0
PNC,0.0761
PNM,0.422
PNR,0.0
PNW,0.028
POOL,0.0002
POWI,0.0
POWL,0.0
PPG,0.0019
PPL,0.0
PRA,0.0
PRG,0.0
PRGS,0.0
PRK,0.0
PRMW,0.0
PSA,0.0
PTC,0.0
PTSI,0.3701
PVH,0.0
PZZA,0.0
QCOM,0.8959
QCRH,0.0
QGEN,0.0
R,0.0
RCII,0.0
RCKY,0.0
RCL,0.0
REG,0.0
RES,0.0
REX,0.0
RF,0.0
RGA,0.0
RGLD,0.7123
RGR,0.2024
RHI,0.0
RJF,0.0
RLI,0.0
RMD,0.0
RNST,0.0
ROCK,0.0048
ROG,0.0126
ROK,0.0
ROL,0.0453
ROP,0.0
ROST,0.0
RPM,0.0017
RPT,0.0
RRC,0.0
RRX,0.0
RS,0.0
RTX,0.2662
RUSHA,0.0
RUSHB,0.0
RYN,0.0
SAM,0.0
SANM,0.0
SASR,0.0
SBSI,0.0
SBUX,0.0
SCHL,0.0
SCHN,0.0
SCHW,0.0
SCI,0.001
SCL,0.1388
SCSC,0.0511
SCVL,0.0
SEB,0.0002
SEIC,0.0
SENEA,0.1418
SF,0.0
SFNC,0.0
SGC,0.7571
SHEN,0.0
SHOO,0.0
SHW,0.2574
SHYF,0.0
SIGI,0.0
SIVB,0.0
SJI,0.0
SJM,0.0
SJW,0.0
SKT,0.0
SKYW,0.0
SLB,0.4979
SLM,0.0
SM,0.0385
SMBC,0.0
SMG,0.0
SMP,0.4042
SMTC,0.0
SNA,0.024
SNPS,0.1049
SO,0.0
SON,0.0056
SPG,0.0
SPGI,0.0
SPXC,0.0
SR,0.0049
SRCE,0.0
SSB,0.0
SSD,0.6194
SSP,0.0
STBA,0.0
STT,0.0
STZ,0.0
SVC,0.0
SWK,0.0
SWX,0.0
SXI,0.0081
SXT,0.0206
SYBT,0.0003
SYK,0.0
SYY,0.0
T,0.0
TAP,0.0
TBI,0.0
TCBK,0.0
TDS,0.0023
TECH,0.0
TFC,0.0
TFX,0.4582
TG,0.0
TGI,0.165
TGNA,0.0
TGT,0.0
THFF,0.0
THG,0.6921
TILE,0.0
TJX,0.0
TKR,0.0
TMO,0.9173
TMP,0.0
TNC,0.0001
TOL,0.0
TPL,0.7239
TR,0.0
TRC,0.0023
TRMB,0.8849
TRMK,0.0
TRN,0.0
TRNS,0.0
TROW,0.0
TRST,0.0
TRV,0.0008
TSCO,0.0
TSN,0.0
TTC,0.0
TTEK,0.0
TUP,0.0
TXN,0.0
TXT,0.0
UBA,0.0
UBSI,0.0
UFCS,0.0
UFPI,0.1381
UFPT,0.0
UGI,0.0
UHAL,0.0
UHS,0.0
UHT,0.0
UMBF,0.0
UNF,0.0
UNFI,0.0012
UNH,0.0
UNM,0.0
UNP,0.0006
UPS,0.0
URBN,0.0
USLM,0.0
USM,0.0
USNA,0.0
USPH,0.0649
UTL,0.0063
UTMD,0.0
UVSP,0.0
UVV,0.0
VALU,0.5407
VFC,0.0
VHI,0.0
VIVO,0.0
VLGEA,0.0
VLY,0.0
VMC,0.003
VMI,0.0
VNO,0.0
VSEC,0.9527
VSH,0.0
VTRS,0.0
VVI,0.9725
VZ,0.0115
WABC,0.4795
WAFD,0.0
WASH,0.0
WAT,0.0
WBA,0.0
WBS,0.0
WDFC,0.0
WEC,0.0099
WELL,0.0
WERN,0.0
WEYS,0.0
WGO,0.0
WHR,0.0
WIRE,0.0
WLY,0.0001
WMB,0.0
WMK,0.1967
WMT,0.0
WOR,0.0
WRB,0.0
WRLD,0.0
WSBC,0.0
WSFS,0.4302
WSM,0.0
WSO,0.0
WST,0.1568
WTFC,0.0
WTRG,0.0
WTS,0.0003
WWD,0.0
WWW,0.0
WY,0.2628
XEL,0.0
XOM,0.0001
XRAY,0.0
XRX,0.0
ZBRA,0.0009
ZEUS,0.0
ZION,0.0006
