TICKER,INTERCEPT,COEFFICIENT1
AA,0.0933,-0.0417
AAON,0.6212,-0.1253
AAPL,0.2584,0.017
ABC,0.8695,-0.2256
ABCB,0.1837,-0.0274
ABM,0.5272,-0.1602
ABT,-0.0271,0.0613
ACIW,0.7272,-0.1713
ACNB,0.1336,-0.0286
ADBE,0.6849,-0.128
ADC,0.1634,-0.0121
ADI,0.6027,-0.1521
ADM,0.5656,-0.1853
ADP,0.303,-0.0651
ADSK,0.5842,-0.1114
ADTN,0.2504,-0.0821
AEIS,0.7895,-0.1782
AEO,0.1864,-0.0394
AEP,0.0003,0.0435
AES,0.53,-0.1979
AFG,0.5461,-0.186
AFL,0.2968,-0.0715
AGCO,0.3246,-0.0904
AGM,0.5671,-0.2184
AIN,0.241,-0.0561
AIR,0.9083,-0.2955
AIT,0.7225,-0.2111
AJG,0.0529,0.0268
AKR,0.7617,-0.1974
ALB,0.4491,-0.103
ALCO,0.5301,-0.1555
ALE,0.1511,-0.0326
ALG,0.2007,-0.022
ALK,-0.0047,0.039
ALL,0.378,-0.1265
ALX,0.1562,-0.0206
AMAT,0.6341,-0.1655
AME,0.7788,-0.1821
AMGN,0.5377,-0.1298
AMNB,0.195,-0.0611
AMWD,0.2817,-0.0512
AN,0.4412,-0.1049
ANDE,0.8656,-0.28
ANF,0.2022,-0.0922
ANSS,1.5937,-0.3492
AON,0.0736,0.0136
AOS,0.2604,-0.032
APA,-0.65,0.2314
APD,0.2234,-0.0374
APH,0.9589,-0.216
APOG,0.6302,-0.194
ARCB,-0.1279,0.0643
AROW,0.4326,-0.1489
ARTNA,0.2818,-0.0659
ARW,0.8234,-0.2826
ASB,0.3199,-0.1257
ASGN,0.4133,-0.0825
ASH,0.2829,-0.0853
ASTE,0.8143,-0.2387
ATGE,0.1396,-0.03
ATNI,0.7061,-0.2066
ATO,0.0457,0.03
ATR,0.5019,-0.1241
ATRO,0.6596,-0.1714
AUB,0.6616,-0.2415
AVA,0.0604,0.0094
AVB,0.4447,-0.0943
AVD,1.3989,-0.3803
AVNT,0.7988,-0.2278
AVT,0.5942,-0.2326
AVY,0.2749,-0.0721
AWR,0.0574,0.0298
AXP,0.7908,-0.2476
AZO,1.1318,-0.2773
AZZ,0.9981,-0.2882
B,0.56,-0.1675
BA,0.7877,-0.2427
BALL,0.8239,-0.2058
BANF,0.4497,-0.1279
BAX,0.6151,-0.2225
BBBY,-0.3588,0.105
BBSI,0.908,-0.2273
BBWI,0.4029,-0.1509
BBY,0.3215,-0.0658
BC,0.2922,-0.0737
BCO,0.4486,-0.145
BCPC,0.9145,-0.19
BDX,0.9506,-0.2744
BEN,0.3805,-0.1151
BF/A,0.3236,-0.0599
BF/B,0.2639,-0.04
BFS,0.6138,-0.184
BH,0.8723,-0.2817
BHB,0.3095,-0.0984
BHE,0.3426,-0.1001
BIG,0.4438,-0.1422
BIIB,0.4654,-0.079
BIO,0.877,-0.2109
BK,0.4966,-0.1754
BKE,0.7161,-0.3279
BKH,0.1878,-0.0438
BMI,0.8346,-0.2051
BMY,0.3146,-0.1045
BOH,0.5336,-0.1889
BOKF,0.7051,-0.2334
BOOM,1.1684,-0.3239
BRC,0.5797,-0.1878
BRK/B,0.3438,-0.0708
BRO,0.5557,-0.1198
BSX,0.4151,-0.1057
BWA,0.7987,-0.2391
BYD,0.5117,-0.136
CAC,0.4289,-0.1616
CACC,0.7778,-0.1761
CACI,0.7013,-0.1636
CADE,0.4351,-0.1581
CAG,0.1935,-0.0608
CAH,0.5448,-0.1985
CAKE,0.4378,-0.1059
CAL,0.8935,-0.318
CALM,0.2526,-0.0133
CASH,0.4232,-0.1034
CASS,0.7569,-0.2175
CASY,0.2703,-0.0405
CAT,0.8318,-0.2742
CATO,0.8424,-0.3567
CATY,0.5618,-0.1819
CB,0.534,-0.1647
CBRL,0.7089,-0.2255
CBSH,0.1818,-0.0308
CBT,0.5727,-0.2029
CBU,0.1952,-0.0343
CCBG,0.2899,-0.0909
CCF,0.4023,-0.0845
CCK,0.3954,-0.1102
CCL,0.5645,-0.1993
CDNS,0.2584,-0.0489
CENT,0.7268,-0.2102
CFR,0.3964,-0.1151
CGNX,0.3974,-0.0733
CHCO,0.6001,-0.2158
CHD,0.5561,-0.1124
CHDN,-0.3841,0.1693
CHE,0.3654,-0.0571
CHS,0.0408,-0.0028
